,reaction,name,flux
RNDR2,gdp_c + trdrd_c --> dgdp_c + h2o_c + trdox_c,Ribonucleoside-diphosphate reductase (GDP),0.010792527629961662
NDPK5,atp_c + dgdp_c <=> adp_c + dgtp_c,Nucleoside-diphosphate kinase (ATP:dGDP),0.010792527629961662
DHFR,dhf_c + h_c + nadph_c <=> nadp_c + thf_c,Dihydrofolate reductase,0.010719285420265026
TMDS,dump_c + mlthf_c --> dhf_c + dtmp_c,Thymidylate synthase,0.010452650859122198
DTMPK,atp_c + dtmp_c <=> adp_c + dtdp_c,DTMP kinase,0.010452650859122198
NDPK6,atp_c + dudp_c <=> adp_c + dutp_c,Nucleoside-diphosphate kinase (ATP:dUDP),0.010452650859122198
DUTPDP,dutp_c + h2o_c --> dump_c + h_c + ppi_c,DUTP diphosphatase,0.010452650859122198
GTHOr,gthox_c + h_c + nadph_c <=> 2.0 gthrd_c + nadp_c,Glutathione oxidoreductase,0.010452650859122198
RNDR4b,grxrd_c + udp_c --> dudp_c + grxox_c + h2o_c,Ribonucleoside-diphosphate reductase (UDP) (glutaredoxin),0.010452650859122198
NDPK4,atp_c + dtdp_c <=> adp_c + dttp_c,Nucleoside-diphosphate kinase (ATP:dTDP),0.010452650859122198
GRXR,grxox_c + 2.0 gthrd_c --> grxrd_c + gthox_c,Glutaredoxin reductase,0.010452650859122198
RNTR1c,atp_c + fldrd_c --> datp_c + fldox_c + h2o_c,Ribonucleoside-triphosphate reductase (ATP) (flavodoxin),0.010452650859122198
OIVD1r,4mop_c + coa_c + nad_c --> co2_c + ivcoa_c + nadh_c,2-oxoisovalerate dehydrogenase (acylating; 4-methyl-2-oxopentaoate),0.010005281252126077
