,reaction_name,reaction_string,WT-LN-G-R1 trans,WT-LN-G-R2 trans,WT-LN-G-R3 trans,EVOL33-LN-G-R1 trans,EVOL33-LN-G-R2 trans,EVOL33-LN-G-R3 trans,EVOL40-LN-G-R1 trans,EVOL40-LN-G-R2 trans,EVOL40-LN-G-R3 trans,WT-P-R1 trans,WT-P-R2 trans,WT-P-R3 trans,PVHG-P-R1 trans,PVHG-P-R2 trans,PVHG-P-R3 trans
AMMQT8,AMMQT8,2dmmq8_c + amet_c + h_c --> ahcys_c + mql8_c,6.98653,9.15005,6.7914,6.16805,7.27275,7.95546,8.074860000000001,7.028630000000001,7.702310000000001,84.04177,57.125809999999994,45.24953,190.56075,239.35182000000003,259.92938
AMMQT8_2,S-adenosylmethione:2-demethylmenaquinone methyltransferase,2dmmq8_c + amet_c --> ahcys_c + h_c + mqn8_c,31.279130000000002,35.51092,26.991460000000004,37.114630000000005,39.08185,36.66429,37.90361,30.88896,40.48825,277.70707000000004,217.84708,209.57031999999998,181.72029999999998,205.40701,239.69812
AMPTASECG,Alanyl aminopeptidase (cys-gly),cgly_c + h2o_c --> cys__L_c + gly_c,490.65923,446.60972000000004,429.25127,557.7829200000001,527.23761,513.64598,550.3556299999999,518.0837799999999,525.59742,547.15063,669.47054,1087.58289,951.65776,547.92243,482.47325
AMPTASEPG,Aminopeptidase (pro-gly),h2o_c + progly_c --> gly_c + pro__L_c,23.77983,22.87513,22.289720000000003,27.437179999999998,24.60981,24.7311,31.275,32.64612,25.356279999999998,67.16309,84.91971,118.33549,362.45833,216.14257,172.23495
AMPtex,AMP transport via diffusion (extracellular to periplasm),amp_e <=> amp_p,,,,,,,,,,,,,,,
ANHGMtex,GlcNAc-anhMurNAc transport via diffusion (extracellular to periplasm),anhgm_e <=> anhgm_p,,,,,,,,,,,,,,,
ANHMK,"1,6-anhydrous-N-Acetylmuramate kinase",anhm_c + atp_c + h2o_c --> acmum6p_c + adp_c + h_c,,,,,,,,,,,,,,,
ANPRT,Anthranilate phosphoribosyltransferase,anth_c + prpp_c --> ppi_c + pran_c,16.665110000000002,13.725079999999998,11.66728,17.33434,16.30859,11.24141,20.00636,16.27682,17.31316,100.48091,77.66913000000001,69.52977,250.80676,253.76814,218.85146
ANS,Anthranilate synthase,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c,37.81698,36.60021,32.04148,43.38902,41.28571,37.529019999999996,46.88237,40.13716,43.21473,110.2389,90.96187,99.81875,355.09129,288.83764,265.46797999999995
AP4AH,Ap4A hydrolase,ap4a_c + h2o_c --> 2.0 adp_c + 2.0 h_c,15.639560000000001,22.439420000000002,18.458679999999998,21.162779999999998,20.12862,23.00166,18.25881,20.068579999999997,18.19926,43.163709999999995,37.79092,29.06271,174.68069,193.75126,176.00427
AP4AS,Ap4A synthetase,2.0 atp_c + h_c --> ap4a_c + ppi_c,65.95537,71.02184,72.61573,80.18462,76.84137,82.49466,65.92456999999999,75.00285,76.75045,125.5352,136.66251,121.89169,563.66036,559.78267,454.62640999999996
APENTAMAH,APENTAMAH,5apentam_c + h2o_c --> 5aptn_c + nh3_c,0.89735,1.7428700000000001,0.52242,1.06346,0.95501,1.3835600000000001,0.9039,0.83234,0.8861100000000001,19.16434,31.08962,63.8889,4.42022,2.55609,3.3077699999999997
APH120,Acylphosphatase (C12:0),ddcap_c + h2o_c --> ddca_c + 2.0 h_c + pi_c,1.8588,2.1785799999999997,1.39311,1.70153,2.05694,2.07534,1.92832,2.58949,2.6583200000000002,8.35143,5.82244,6.3766300000000005,24.22937,24.33393,23.53903
APH140,Acylphosphatase (C14:0),h2o_c + ttdcap_c --> 2.0 h_c + pi_c + ttdca_c,1.8588,2.1785799999999997,1.39311,1.70153,2.05694,2.07534,1.92832,2.58949,2.6583200000000002,8.35143,5.82244,6.3766300000000005,24.22937,24.33393,23.53903
APH141,Acylphosphatase (C14:1),h2o_c + ttdceap_c --> 2.0 h_c + pi_c + ttdcea_c,1.8588,2.1785799999999997,1.39311,1.70153,2.05694,2.07534,1.92832,2.58949,2.6583200000000002,8.35143,5.82244,6.3766300000000005,24.22937,24.33393,23.53903
APH160,Acylphosphatase (C16:0),h2o_c + hdcap_c --> 2.0 h_c + hdca_c + pi_c,1.8588,2.1785799999999997,1.39311,1.70153,2.05694,2.07534,1.92832,2.58949,2.6583200000000002,8.35143,5.82244,6.3766300000000005,24.22937,24.33393,23.53903
APH161,Acylphosphatase (C16:1),h2o_c + hdceap_c --> 2.0 h_c + hdcea_c + pi_c,1.8588,2.1785799999999997,1.39311,1.70153,2.05694,2.07534,1.92832,2.58949,2.6583200000000002,8.35143,5.82244,6.3766300000000005,24.22937,24.33393,23.53903
APH180,Acylphosphatase (C18:0),h2o_c + ocdcap_c --> 2.0 h_c + ocdca_c + pi_c,1.8588,2.1785799999999997,1.39311,1.70153,2.05694,2.07534,1.92832,2.58949,2.6583200000000002,8.35143,5.82244,6.3766300000000005,24.22937,24.33393,23.53903
APH181,Acylphosphatase (C18:1),h2o_c + ocdceap_c --> 2.0 h_c + ocdcea_c + pi_c,1.8588,2.1785799999999997,1.39311,1.70153,2.05694,2.07534,1.92832,2.58949,2.6583200000000002,8.35143,5.82244,6.3766300000000005,24.22937,24.33393,23.53903
APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c,23.843920000000004,24.40014,26.120769999999997,28.81967,24.75673,26.11466,33.263580000000005,29.6867,29.9913,535.0190699999999,373.18534,424.53624,648.62688,691.16545,901.17571
APTNAT,APTNAT,5aptn_c + akg_c <=> glu__L_c + oxptn_c,258.11688,258.38006,321.11129,182.70182,91.16649,160.31981000000002,240.3776,235.08907000000002,164.6113,71.82231,71.2974,76.3969,45.67564,31.89994,31.077679999999997
ARABRr,Arabinose reductase,arab__L_c + h_c + nadph_c <=> abt__L_c + nadp_c,0.0641,0.43572,0.17414000000000002,0.31904,0.5877,0.34589000000000003,0.0,0.7398600000000001,0.40897,0.08791,0.10985999999999999,0.0,0.65485,0.30673,0.23076999999999998
ARACHTA,ARACHTA,ACP_c + arachcoa_c <=> arachACP_c + coa_c,,,,,,,,,,,,,,,
ARAI,L-arabinose isomerase,arab__L_c <=> rbl__L_c,,,,,,,,,,,,,,,
ARBabc,ARBabc,arab__L_e + atp_c + h2o_c --> adp_c + arab__L_c + h_c + pi_c,25.89501,18.3001,21.7673,33.81792,27.10752,29.400620000000004,29.70823,30.14911,29.65048,63.03133,53.939949999999996,75.90639,27.994750000000003,20.959899999999998,14.92344
ARBabcpp,L-arabinose transport via ABC system (periplasm),arab__L_p + atp_c + h2o_c --> adp_c + arab__L_c + h_c + pi_c,26.53598,21.56798,21.94145,31.691000000000003,27.76868,28.881780000000003,28.924850000000003,30.24159,28.900700000000004,62.67969,53.93994,73.57647,28.158470000000005,20.65318,14.615729999999997
ARBt2r,ARBt2r,arab__L_e + h_e <=> arab__L_c + h_c,20.19042,21.132260000000002,16.194869999999998,22.54528,24.02211,26.287609999999997,23.019360000000002,27.00472,19.83515,4.92295,8.78859,13.243770000000001,7.20332,4.80544,3.84624
ARBt3ipp,L-arabinose transport via proton antiport (periplasm),arab__L_c + h_p --> arab__L_p + h_c,18.7162,17.864379999999997,16.54316,20.84374,17.777839999999998,24.03932,20.97052,19.51368,18.40375,19.076430000000002,15.81945,14.47004,49.2773,41.81755,47.23192
ARBTpts,Arbutin transport via PEPPyr PTS,arbt_e + pep_c --> arbt6p_c + pyr_c,10.960510000000001,11.5465,10.79658,8.294960000000001,8.52161,8.82018,9.701880000000001,10.26549,8.31577,543.2826,347.91815,307.67228,126.38565,179.9484,140.84957
ARGabc,L-arginine transport via ABC system,arg__L_e + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c,21.47235,22.875130000000002,15.32418,23.60873,27.9156,29.05473,25.67081,30.98144,25.01546,262.58658999999994,278.48832,269.41251,159.12805,115.73954,98.77162
ARGabcpp,L-arginine transport via ABC system (periplasm),arg__L_p + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c,590.52169,620.67858,650.9295100000002,689.0134600000001,729.55227,786.5528399999998,619.29321,670.5864899999999,645.4944099999999,1508.0047999999997,2033.78868,2085.89298,603.93351,462.44694000000004,458.08801
ARGAGMt7pp,Arginine/agmatine antiport (periplasm),agm_c + arg__L_p <=> agm_p + arg__L_c,6.92243,5.2286,6.617260000000001,5.52997,5.65658,6.917789999999999,5.66445,8.78578,4.29421,17.230320000000003,17.577170000000002,16.43208,4.74765,5.009930000000001,6.53862
ARGDr,Arginine deiminase,arg__L_c + h2o_c --> citr__L_c + nh4_c,827.29441,891.47657,774.21953,662.21435,692.0131500000001,577.63556,901.4913200000001,892.35816,954.95004,341.88123,342.97457,326.18902999999995,326.4417,367.36057,320.08469
ARGN_1,Arginase,arg__L_c + h2o_c --> orn__L_c + urea_c,16.02414,14.59651,18.28454,11.59168,12.12125,8.99313,18.49986,13.224920000000001,19.5625,28.043229999999998,24.16861,21.21455,1.47341,2.96506,2.1539
ARGSL,Argininosuccinate lyase,argsuc_c <=> arg__L_c + fum_c,52.3028,56.861039999999996,41.44495,53.06648,51.42348,57.936499999999995,55.55982,61.962900000000005,50.16726,89.40427,68.77068,56.16337,473.45506,399.15827,381.77849
ARGSS,Argininosuccinate synthase,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c,97.0422,99.56129,90.02958000000001,115.49136999999999,115.11514,132.82159,105.03338000000001,117.82198000000001,100.67532,225.48865,169.83943,175.35726,1041.37193,865.79719,939.25355
ARGt2r,L arganine reversible transport via proton symport,arg__L_e + h_e --> arg__L_c + h_c,622.50587,674.27175,707.6986400000001,622.4410799999999,595.19007,653.9042,638.0341,654.21718,673.1682099999999,2161.3504700000003,1926.5679300000002,1629.47361,407.1517,453.34728,482.39632000000006
ARGt3pp,L-arginine transport out via proton antiport (cytoplasm to periplasm),arg__L_c + h_p --> arg__L_p + h_c,0.6409699999999999,0.65358,0.52242,0.63807,0.51423,1.03767,0.66286,0.27745,0.34081,7.999789999999999,8.129439999999999,7.1123899999999995,12.442110000000001,9.81537,11.69259
ARGt5r,ARGt5r,arg__L_e <=> arg__L_c,2.62796,3.26788,2.08966,2.1269099999999996,2.6446400000000003,3.97773,2.65145,2.21957,2.24935,152.08396000000002,203.56563,257.64027999999996,13.91552,13.9051,12.461839999999999
ARUH,ARUH,arg__L_c + pyr_c <=> 5g2oxpt_c + ala__L_c,17.43427,19.825110000000002,20.3742,11.272639999999999,7.1992899999999995,5.88012,9.40058,8.6933,9.61085,37.80122,29.44176,31.39263,40.10944,42.94223,36.6932
ASAD,Aspartate-semialdehyde dehydrogenase,aspsa_c + nadp_c + pi_c <=> 4pasp_c + h_c + nadph_c,134.28231,119.16855,125.55382,146.22527,118.93517,138.00993,138.77905,126.33032,120.9876,198.23661,159.51283999999998,180.8755,647.4809,536.67566,527.55126
ASNN,L-asparaginase,asn__L_c + h2o_c --> asp__L_c + nh4_c,45.31627,40.085950000000004,39.18115,50.30149,53.7008,51.71049,54.71619,50.03273,49.75829,52.48216,49.32595,45.494780000000006,167.47736,169.51957,165.54248
ASNNpp,L-asparaginase,asn__L_p + h2o_p --> asp__L_p + nh4_p,13.78076,13.507220000000002,11.84141,13.61224,15.42704,17.29448,8.556939999999999,13.502360000000001,8.24761,4.83504,4.6140099999999995,3.9240800000000005,55.825790000000005,58.8922,57.001380000000005
ASNS1,Asparagine synthase (glutamine-hydrolysing),asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + h_c + ppi_c,31.215020000000003,31.37161,30.822499999999998,27.11814,32.32333,33.55129,31.455779999999997,32.923570000000005,29.105179999999997,67.07518,55.25824,60.82322,278.14666,222.78839,204.54343
ASNS2,Asparagine synthetase,asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c,13.78076,13.507220000000002,11.84141,13.61224,15.42704,17.29448,8.556939999999999,13.502360000000001,8.24761,4.83504,4.6140099999999995,3.9240800000000005,55.825790000000005,58.8922,57.001380000000005
ASNt2r,L asparagine reversible transport via proton symport,asn__L_e + h_e <=> asn__L_c + h_c,18.6521,17.210810000000002,14.27935,19.99298,20.42247,24.55816,28.92486,34.3108,29.650479999999998,3.6922099999999998,5.49287,11.40435,12.11469,8.79293,5.69245
ASNt2rpp,L-asparagine reversible transport via proton symport (periplasm),asn__L_p + h_p <=> asn__L_c + h_c,18.6521,17.210810000000002,14.27935,19.99298,20.42247,24.55816,28.92486,34.3108,29.650479999999998,3.6922099999999998,5.49287,11.40435,12.11469,8.79293,5.69245
ASO3t4pp,Arsenite transporter via sodium antiport (periplasm),aso3_c + na1_p --> aso3_p + na1_c,33.778890000000004,26.360870000000002,36.046659999999996,26.054679999999998,23.80173,31.99478,27.11705,28.022029999999997,28.42357,7.3844199999999995,11.42516,18.026239999999998,11.95097,8.79293,7.077089999999999
ASO3t8pp,Arsenite efflux via ATP hydrolysis (periplasm),aso3_c + atp_c + h2o_c --> adp_c + aso3_p + h_c + pi_c,7.050619999999999,6.31789,7.48795,8.50765,9.1093,9.51196,8.3159,6.10381,9.13371,32.70245,30.76005,26.48753,40.600570000000005,45.80505,44.61647
ASO3tex,Arsenite transport via diffusion (extracellular to periplasm),aso3_e <=> aso3_p,,,,,,,,,,,,,,,
ASO4rt2rpp,Arsenate reversible transport via symport (periplasm),aso4_p + h_p <=> aso4_c + h_c,,,,,,,,,,,,,,,
ASO4t4pp,Arsenate transporter via sodium antiport (periplasm),aso4_c + na1_p --> aso4_p + na1_c,33.778890000000004,26.360870000000002,36.046659999999996,26.054679999999998,23.80173,31.99478,27.11705,28.022029999999997,28.42357,7.3844199999999995,11.42516,18.026239999999998,11.95097,8.79293,7.077089999999999
ASO4tex,Arsenate transporter (extracellular to periplasm),aso4_e <=> aso4_p,,,,,,,,,,,,,,,
ASP1DC,Aspartate 1-decarboxylase,asp__L_c + h_c --> ala_B_c + co2_c,22.818379999999998,25.27157,18.1104,31.159270000000003,28.135990000000003,26.46055,24.10405,22.38063,23.24325,12.74692,12.85331,11.28173,34.70694,39.056979999999996,35.61625
ASPabc,L-aspartate transport via ABC system,asp__L_e + atp_c + h2o_c --> adp_c + asp__L_c + h_c + pi_c,247.79733,257.72649,278.44737000000003,287.87767,284.44532000000004,334.64814,252.67066,286.60151,254.24437000000003,681.6526299999999,1076.6018,1190.95784,397.4927,253.76814,243.62129
ASPabcpp,L-aspartate transport via ABC system (periplasm),asp__L_p + atp_c + h2o_c --> adp_c + asp__L_c + h_c + pi_c,327.98213,342.47341,334.3458100000001,372.20977,367.89829000000003,427.34654,312.44869000000006,360.30961,305.29773000000006,685.25693,1081.8749599999999,1197.70235,402.89520000000005,259.18703999999997,249.54450999999997
ASPCT,Aspartate carbamoyltransferase,asp__L_c + cbp_c --> cbasp_c + h_c + pi_c,15.31908,14.1608,16.02074,14.037629999999998,17.41052,17.12153,16.51127,16.64675,17.79029,16.08749,12.63359,19.497770000000003,53.37011,50.71273,46.385740000000006
ASPK,Aspartate kinase,asp__L_c + atp_c <=> 4pasp_c + adp_c,125.50108,120.69355,133.73833,128.99727,108.2097,138.00993,116.00072,129.38222,116.76156,207.46714,220.15408,253.96146000000002,1021.3990699999999,705.68401,700.7862299999999
ASPO1,ASPO1,asp__L_c + h2o_c + o2_c --> h2o2_c + nh4_c + oaa_c,73.19828000000001,62.96108,42.489779999999996,103.15528,79.48601,76.0957,71.95058,57.06135,67.34409000000001,135.55692,114.25161999999999,97.24356999999999,341.83062,287.40623,259.00628
ASPO5,L-aspartate oxidase,asp__L_c + fum_c --> h_c + iasp_c + succ_c,73.19828000000001,62.96108,42.489779999999996,103.15528,79.48601,76.0957,71.95058,57.06135,67.34409000000001,135.55692,114.25161999999999,97.24356999999999,341.83062,287.40623,259.00628
ASPT,L-aspartase,asp__L_c --> fum_c + nh4_c,44.8035,50.32529000000001,38.83287,46.15401,52.37849,50.499880000000005,62.550000000000004,68.25167,61.82296000000001,20.30716,17.35746,17.53572,20.627709999999997,26.378800000000005,18.76968
ASPt2_2,Aspartate transport via proton symport (2 H),asp__L_e + 2.0 h_e --> asp__L_c + 2.0 h_c,9.16581,11.5465,15.672460000000001,8.614,8.59507,9.16607,7.71329,7.76848,8.38393,3.0768400000000002,7.4703,10.913839999999999,2.7831,2.04487,2.00005
ASPt2_2pp,Aspartate transport via proton symport (2 H) (periplasm),asp__L_p + 2.0 h_p --> asp__L_c + 2.0 h_c,57.045950000000005,54.028890000000004,68.43641,53.172830000000005,42.681490000000004,49.28926,47.30419,53.732,50.09909,42.46043,75.91140999999999,114.53403999999999,13.588090000000001,14.211839999999999,14.231119999999999
ASPt2pp,L-aspartate transport in via proton symport (periplasm),asp__L_p + h_p --> asp__L_c + h_c,2.6920599999999997,3.05002,1.56724,2.9776800000000003,5.50966,2.76711,3.1937800000000003,3.9767200000000003,3.47626,41.14179,56.906099999999995,71.61443,62.701690000000006,45.396069999999995,68.69398
ASPt2r,L aspartate reversible transport via proton symport,asp__L_e + h_e <=> asp__L_c + h_c,0.96145,1.52501,0.69655,1.06346,2.35079,0.86472,0.9039,1.38723,1.09059,11.07664,16.918029999999998,24.40286,47.640190000000004,35.47846,64.07848
ASPTA,Aspartate transaminase,akg_c + asp__L_c <=> glu__L_c + oaa_c,93.19640999999999,90.19337000000002,91.42269,96.56184999999999,95.50075,95.81141,89.84783,93.77668,85.74785,364.29823999999996,312.54409,266.83735,1204.1016599999998,1134.08389,1073.10296
ASR,Arsenate reductase,aso4_c + 2.0 gthrd_c --> aso3_c + gthox_c + h2o_c,8.52484,6.753610000000001,9.229339999999999,10.102839999999999,8.59507,9.16607,8.6172,8.13841,8.24761,150.06204,80.30570999999999,72.10494,346.41456,426.66175,391.62487999999996
ASR2,Arsenate reductase (thioredoxin),aso4_c + trdrd_c --> aso3_c + h2o_c + trdox_c,4.486759999999999,2.6143,3.65691,4.04113,2.79156,4.49656,3.9169099999999997,3.88424,3.88524,2.90102,3.62529,4.16933,2.29197,1.12468,1.38465
ATPHs,ATP amine hydrolysis (spontaneous),atp_c + h2o_c + h_c --> itp_c + nh4_c,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ATPPRT,ATP phosphoribosyltransferase,atp_c + prpp_c --> ppi_c + prbatp_c,3.7817,3.70359,4.00518,5.95536,4.70158,3.97773,3.6156099999999998,3.6992800000000003,3.9534,13.97766,17.796889999999998,28.69482,160.76516999999998,92.83702,91.69453
ATPS4rpp,ATP synthase (four protons for one ATP) (periplasm),adp_c + 4.0 h_p + pi_c --> atp_c + h2o_c + 3.0 h_c,24.80537,17.64653,17.41384,18.92953,19.17361,19.02393,17.174129999999998,20.9934,17.92661,126.50221,191.26161000000002,252.61256,914.8225699999999,593.42075,407.7022
BALAt2pp,Beta-alanine transport in via proton symport (periplasm),ala_B_p + h_p --> ala_B_c + h_c,32.36877,31.371609999999997,30.12595,32.96715,34.60066,35.28073,32.84176,39.3973,33.7402,92.83275,89.53372,83.38667,269.1425,293.9498,295.85332999999997
BALAt2r,BALAt2r,ala_B_e + h_e --> ala_B_c + h_c,656.92573,772.7437499999999,792.6782,418.04474,331.82838999999996,373.56071,456.53063,508.00325,509.64748999999995,144.87536,134.13579,114.90193,21.28256,24.74291,29.61611
BALAtex,Beta-alanine transport via diffusion (extracellular to periplasm),ala_B_e <=> ala_B_p,,,,,,,,,,,,,,,
BCOALIG,Benzoate CoA ligase,atp_c + bz_c + coa_c + 4.0 h_c --> amp_c + benzcoa_c + ppi_c,11.409189999999999,11.32864,11.144860000000001,12.22975,11.01932,15.21914,9.09928,11.56024,8.7929,3.7801199999999997,5.38301,7.97078,9.4953,5.4189,5.5386
BCOALIG2,4-hydroxybenzoate--coenzyme A ligase,4hbz_c + atp_c + coa_c --> 4hbzcoa_c + amp_c + ppi_c,11.409189999999999,11.32864,11.144860000000001,12.22975,11.01932,15.21914,9.09928,11.56024,8.7929,3.7801199999999997,5.38301,7.97078,9.4953,5.4189,5.5386
BCT1_syn,Bicarbonate transport via ABC system (periplasm),atp_c + h2o_c + hco3_p --> adp_c + h_c + hco3_c + pi_c,0.6409699999999999,0.21786,0.17414000000000002,0.10635,0.5877,0.34589000000000003,0.18078,0.64737,0.13632,0.0,0.10985999999999999,0.12262999999999999,0.16371,0.40897,0.23076999999999998
BETALDHx,Betaine-aldehyde dehydrogenase,betald_c + h2o_c + nad_c --> glyb_c + 2.0 h_c + nadh_c,664.0404500000001,670.13244,753.84533,535.7693799999998,556.03477,503.78813999999994,685.6998600000001,682.88659,710.11203,497.92113000000006,417.5677,321.89707,59.10002,53.16656999999999,72.30944
BETALDHy,Betaine-aldehyde dehydrogenase,betald_c + h2o_c + nadp_c --> glyb_c + 2.0 h_c + nadph_c,664.0404500000001,670.13244,753.84533,535.7693799999998,556.03477,503.78813999999994,685.6998600000001,682.88659,710.11203,497.92113000000006,417.5677,321.89707,59.10002,53.16656999999999,72.30944
BG_CELLB,Beta glucosidase  cellobiose ,cellb_e + h2o_e --> 2.0 glc__D_e,25.38224,25.92515,28.38457,25.31026,25.34443,27.49822,28.44277,26.542309999999997,29.241509999999998,29.273970000000002,24.278470000000002,25.87439,9.00416,10.94004,11.76952
BGLA,Beta-glucosidase,cellb_c + h2o_c --> 2.0 glc__D_c,59.93029,51.19672,49.8036,64.87084,53.62735,52.57521,45.97847,40.04468,46.55467,22.768639999999998,19.334889999999998,15.328429999999999,26.35763,32.10443,32.46233
BG_MADG,Beta glucosidase  methyl alpha D glucoside ,h2o_e + madg_e --> glc__D_e + meoh_e,25.38224,25.92515,28.38457,25.31026,25.34443,27.49822,28.44277,26.542309999999997,29.241509999999998,29.273970000000002,24.278470000000002,25.87439,9.00416,10.94004,11.76952
BG_MBDG,Beta glucosidase,h2o_e + mbdg_e --> glc__D_e + meoh_e,25.38224,25.92515,28.38457,25.31026,25.34443,27.49822,28.44277,26.542309999999997,29.241509999999998,29.273970000000002,24.278470000000002,25.87439,9.00416,10.94004,11.76952
BMNMSHS,BMNMSHS,bmn_c + msh_c --> bmnmsh_c + 2.0 h_c,,,,,,,,,,,,,,,
BMNt,BMNt,bmn_c <=> bmn_e,,,,,,,,,,,,,,,
BMOCOS,Bis-molybdenum cofactor synthase,moco_c + mptamp_c --> amp_c + bmoco_c + cu2_c,83.96651,78.64688000000001,93.16407,90.3938,98.88001,90.62306,108.04638,91.00222,94.67705000000001,263.99315,192.03061000000002,145.43616,426.14229,573.0743200000001,477.62697000000003
BMOGDS1,Bis-molybdopterin guanine dinucleotide synthase (single GDP),bmoco_c + gtp_c + h_c --> bmoco1gdp_c + ppi_c,5.83279,4.35717,5.572430000000001,7.33785,6.90544,7.43663,8.3159,5.27147,8.17944,26.10921,22.41089,13.366389999999999,28.813309999999998,39.97717,35.1547
BMOGDS2,Bis-molybdopterin guanine dinucleotide synthase,bmoco1gdp_c + gtp_c + h_c --> bmocogdp_c + ppi_c,5.83279,4.35717,5.572430000000001,7.33785,6.90544,7.43663,8.3159,5.27147,8.17944,26.10921,22.41089,13.366389999999999,28.813309999999998,39.97717,35.1547
BPNT,"3',5'-bisphosphate nucleotidase",h2o_c + pap_c --> amp_c + pi_c,18.26752,18.73582,20.20006,23.608729999999998,22.03864,25.07699,20.5487,21.08588,22.83428,86.0637,75.80156,51.994040000000005,69.25017,78.01172,80.92504
BSCT,Benzoylsuccinyl-CoA thiolase,coa_c + 4.0 h_c + sbzcoa_c <=> benzcoa_c + succoa_c,2.88435,2.6143,2.43794,2.1269099999999996,1.4692399999999999,2.07534,1.56676,3.0519,1.63589,1.31865,3.84501,3.06569,3.92909,2.45384,2.4616
BTDD_RR, R R  butanediol dehydrogenase,btd_RR_c + nad_c <=> actn__R_c + h_c + nadh_c,168.1253,136.37936000000002,124.16071000000001,108.36621000000001,81.32256,85.60766,104.67182,121.15133,102.37937,116.5684,181.92373,211.40972999999997,13.260670000000001,9.71312,11.384889999999999
BTS2,BTS2,cys__L_c + dtbt_c --> ala__L_c + btn_c + 2.0 h_c,31.15093,26.360870000000002,27.1656,34.030609999999996,31.51525,33.55129,40.67558,40.59957,34.62631,178.63272,235.31439,315.27518,1226.53018,841.46326,766.09551
BTS3r,Biotin synthase,dtbt_c + 2.0 s_c <=> btn_c + h2s_c,31.15093,26.360870000000002,27.1656,34.030609999999996,31.51525,33.55129,40.67558,40.59957,34.62631,178.63272,235.31439,315.27518,1226.53018,841.46326,766.09551
BTS5,Biotin synthase,2fe2s_c + amet_c + dtbt_c --> 2fe1s_c + btn_c + dad_5_c + h_c + met__L_c,,,,,,,,,,,,,,,
BUTCT,Acetyl-CoA:butyrate-CoA transferase,accoa_c + but_c --> ac_c + btcoa_c,19.10076,20.4787,13.93109,21.056420000000003,22.84671,20.40749,19.22299,20.90091,16.83603,17.49404,16.14903,24.525500000000005,21.93741,9.71311,13.308
BUTSabc,Butanesulfonate transport via ABC system,atp_c + buts_e + h2o_c --> adp_c + buts_c + h_c + pi_c,0.19229000000000002,0.43572,0.0,0.10635,0.44077,0.51883,0.18078,0.27745,0.34081,0.35164,0.21971,0.24525,0.0,0.10224,0.3077
BUTSO3abcpp,Butanesulfonate transport via ABC system (periplasm),atp_c + butso3_p + h2o_c --> adp_c + butso3_c + h_c + pi_c,20.83139999999999,22.4394,11.493139999999999,22.013579999999997,23.581320000000005,23.86636,18.499830000000003,24.87765999999999,19.494349999999997,19.16435,22.30104,32.49624999999999,27.33992,22.289070000000002,24.76981
BUTSO3tex,Butanesulfonate transport via diffusion (extracellular to periplasm),butso3_e <=> butso3_p,,,,,,,,,,,,,,,
BUTt2r,"Butyrate transport via proton symport, reversible",but_e + h_e <=> but_c + h_c,95.3116,87.36121999999999,88.98475,73.3785,77.50253000000001,75.05803,91.77616,92.01952,92.29139,68.74547,68.88054,75.29326,11.45984,9.30415,11.154119999999999
BUTt2rpp,"Butyrate transport via proton symport, reversible (periplasm)",but_p + h_p <=> but_c + h_c,312.0221,216.98696999999999,207.92131,162.07076999999998,113.20512000000001,146.48422,169.81301000000002,170.81412999999998,163.79336,596.99549,1226.2274700000003,1978.34872,187.77765,126.16836999999998,129.15698
BUTt4pp,Butyrate transport via sodium symport (periplasm),but_p + na1_p --> but_c + na1_c,216.7105,129.62575,118.93656000000001,88.69227,35.70259,71.42619,78.03685,78.79460999999999,71.50197,528.2500200000001,1157.3469300000002,1903.05546,176.31781,116.86421999999999,118.00286000000001
BZ12DOX,BZ12DOX,bz_c + h_c + nadh_c + o2_c --> bz12diol_c + nad_c,26.984650000000002,23.96443,22.812140000000003,28.60698,43.489580000000004,39.60434,29.346680000000003,58.17112999999999,28.219069999999995,86.32744,96.56459000000001,187.12949999999998,5.56622,12.678180000000001,11.84644
BZALDH,BZALDH,bzalc_c + nad_c <=> bzal_c + h_c + nadh_c,8.71713,11.76436,6.4431199999999995,10.10283,9.25623,7.43662,6.99017,10.7279,6.679880000000001,5.18668,6.7013,6.74451,11.45984,8.077229999999998,6.30784
BZDH,BZDH,bzal_c + h2o_c + nad_c --> bz_c + 2.0 h_c + nadh_c,3.97399,4.35717,3.8310400000000002,6.0617,4.99542,3.80478,5.12211,4.809060000000001,5.24847,26.72458,21.53203,21.21455,13.42438,13.49613,15.61577
BZDIOLDH,BZDIOLDH,bz12diol_c + nad_c --> catechol_c + co2_c + nadh_c,6.15327,5.44646,5.746569999999999,6.6997800000000005,12.26817,10.54963,9.8224,9.24819,5.52112,28.482779999999998,39.54864,57.267019999999995,3.92909,3.0673,3.46162
