,name,reaction,glu FBA flux,glu pFBA flux,WT-Glu-R1-T1 transcripts,WT-Glu-R2-T1 transcripts,WT-Glu-R3-T1 transcripts,WT-Glu-R1-T2 transcripts,WT-Glu-R2-T2 transcripts,WT-Glu-R3-T2 transcripts,WT-Glu-R1-T1 E-Flux2 flux,WT-Glu-R2-T1 E-Flux2 flux,WT-Glu-R3-T1 E-Flux2 flux,WT-Glu-R1-T2 E-Flux2 flux,WT-Glu-R2-T2 E-Flux2 flux,WT-Glu-R3-T2 E-Flux2 flux
MCITS,2-methylcitrate synthase,h2o_c + oaa_c + ppcoa_c --> 2mcit_c + coa_c + h_c,0.0,0.0,6.86152914513482,5.668830069783982,8.35135615224874,6.8813548484073,6.50785901564144,6.6985231424499405,0.0,0.0,0.0,0.0,0.0,0.0
MCSNAH,5-Methylcytosine aminohydrolase,5mcsn_c + h2o_c + h_c --> nh4_c + thym_c,0.0,0.0,30.106709514367104,31.878832627726396,39.0035864253375,35.722327374820296,30.7970336094528,22.910074949387607,0.0,0.0,0.0,0.0,0.0,0.0
MCTP1App,Murein crosslinking transpeptidase 1A:(A2pm->D-ala) (periplasm),murein5p5p_p --> ala__D_p + murein5px4p_p,0.0,0.0,1320.9143760419745,1328.6403841204294,1359.8026825040615,1222.0476639612737,1239.004119206254,1346.234281301116,0.0,0.0,0.0,0.0,0.0,0.0
MAN6PI,Mannose-6-phosphate isomerase,man6p_c <=> f6p_c,0.0,0.0,185.494672263713,186.537855355127,216.125755368635,199.15450502449403,182.988697203587,162.847289505106,0.0,0.0,0.0,0.0,0.0,0.0
MAN1PT,Mannose 1 phosphate guanylyltransferase,gtp_c + h_c + man1p_c --> gdpmann_c + ppi_c,0.0,0.0,204.538916421638,213.54816333468602,213.280787888198,188.02290159324696,236.281400953722,204.16423056862098,0.0,0.0,0.0,0.0,0.0,0.0
MALDt2_2pp,D-Malate transport via proton symport (2 H) (periplasm),2.0 h_p + mal__D_p --> 2.0 h_c + mal__D_c,0.0,0.0,11.15581949447089,13.20503945667326,9.636180175671619,10.42322866744047,9.73616703127459,8.72496711831715,0.0,0.0,0.0,0.0,0.0,0.0
MALTTRabc,Maltotriose transport via ABC system,atp_c + h2o_c + malttr_e --> adp_c + h_c + malttr_c + pi_c,0.0,0.0,0.746833104232361,0.600229066212421,0.8259583007718531,0.607178368977115,0.7686447656269421,0.4503208835260461,0.0,0.0,0.0,0.0,0.0,0.0
MALDtex,D-Malate transport via diffusion (extracellular to periplasm),mal__D_e <=> mal__D_p,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
MALEI,Maleate cis trans isomerase,male_c <=> fum_c,0.0,0.0,5.13447759159748,4.1349113450189,4.22156464838947,6.37537287425971,5.2267844062632,4.559498945701219,0.0,0.0,0.0,0.0,0.0,0.0
MALT,Alpha glucosidase,h2o_c + malt_c --> 2.0 glc__D_c,0.0,0.0,351.43165261033994,323.05662185921904,322.307283590083,316.036341052588,331.952052782088,282.01345330818697,0.0,0.0,0.0,0.0,0.0,0.0
MALTHPabc,MALTHPabc,atp_c + h2o_c + malthp_e --> adp_c + h_c + malthp_c + pi_c,0.0,0.0,12.2760691508194,11.737812850376198,8.718448730369559,11.3339962209061,11.1709705937782,19.7578287647053,0.0,0.0,0.0,0.0,0.0,0.0
MALTHXabc,Maltohexaose transport via ABC system,atp_c + h2o_c + malthx_e --> adp_c + h_c + malthx_c + pi_c,0.0,0.0,0.746833104232361,0.600229066212421,0.8259583007718531,0.607178368977115,0.7686447656269421,0.4503208835260461,0.0,0.0,0.0,0.0,0.0,0.0
MALTHXabcpp,Maltohexaose transport via ABC system (periplasm),atp_c + h2o_c + malthx_p --> adp_c + h_c + malthx_c + pi_c,0.0,0.0,6.114696040902457,7.002672439144921,5.781708105402983,7.589729612213936,7.788933625019674,8.556096786994877,0.0,0.0,0.0,0.0,0.0,0.0
MALTHXtexi,Maltohexaose transport via diffusion (extracellular to periplasm) irreversible,malthx_e --> malthx_p,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
MALTT,Maltosyltransferase  4 units specific ,2.0 malt1p_c --> glyg4n_c + 2.0 pi_c,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
MALTabc,Maltose transport via ABC system,atp_c + h2o_c + malt_e --> adp_c + h_c + malt_c + pi_c,0.0,0.0,45.510142289159425,58.689064251881135,32.2123737301023,31.269686002321365,41.66054629698023,59.27348629411591,0.0,0.0,0.0,0.0,0.0,0.0
MALtex,Malate transport via diffusion (extracellular to periplasm),mal__L_e <=> mal__L_p,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
MALTabcpp,Maltose transport via ABC system (periplasm),atp_c + h2o_c + malt_p --> adp_c + h_c + malt_c + pi_c,0.0,0.0,6.114696040902457,7.002672439144921,5.781708105402983,7.589729612213936,7.788933625019674,8.556096786994877,0.0,0.0,0.0,0.0,0.0,0.0
MALTpts,Maltose transport via PEP:Pyr PTS,malt_e + pep_c --> malt6p_c + pyr_c,0.0,0.0,53.02515040049769,53.75384748524573,65.61779833909726,421.07819888562875,80.0415415939522,424.42743272329824,0.0,0.0,0.0,0.0,0.0,0.0
MALTptspp,Maltose transport via PEP:Pyr PTS (periplasm),malt_p + pep_c --> malt6p_c + pyr_c,0.0,0.0,3.5941343141182407,6.06898278059226,5.13929609369153,39.1630047990239,11.427185515653903,49.98561807139111,0.0,0.0,0.0,0.0,0.0,0.0
MALTtexi,MaltoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible,malt_e --> malt_p,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
MALt2_2,Malate transport via proton symport (2 H),2.0 h_e + mal__L_e --> 2.0 h_c + mal__L_c,0.0,0.0,2.80062414087135,3.26791380493429,2.11078232419474,3.44067742420365,2.66463518750673,3.03966596380081,0.0,0.0,0.0,0.0,0.0,0.0
MALt2_2pp,Malate transport via proton symport (2 H) (periplasm),2.0 h_p + mal__L_p --> 2.0 h_c + mal__L_c,0.0,0.0,11.15581949447089,13.20503945667326,9.636180175671619,10.42322866744047,9.73616703127459,8.72496711831715,0.0,0.0,0.0,0.0,0.0,0.0
MALt2r,L malate reversible transport via proton symport,h_e + mal__L_e --> h_c + mal__L_c,0.0,0.0,9.19538259586094,10.070509888675058,8.62667558583936,8.50049716567961,6.661587968766829,7.711745130383542,0.0,0.0,0.0,0.0,0.0,0.0
MALt4,Namalate symporter,mal__L_e + na1_e --> mal__L_c + na1_c,0.0,0.0,9.428767940933561,12.0045813242484,9.81972646473203,6.780158453577781,8.30136346877097,7.20513413641674,0.0,0.0,0.0,0.0,0.0,0.0
LPLIPAL2A120,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C12:0)",2ddecg3p_c + h2o_c --> ddca_c + glyc3p_c + 2.0 h_c,0.0,0.0,46.7237460835371,46.2843302168245,33.1301051754043,47.8658947543626,52.1653580938818,38.3335652101547,0.0,0.0,0.0,0.0,0.0,0.0
LPLIPAL1G160pp,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C16:0) (periplasm)",1agpg160_p + h2o_p --> g3pg_p + h_p + hdca_p,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
LPLIPAL1A180pp,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:0) (periplasm)",1odecg3p_p + h2o_p --> glyc3p_p + h_p + ocdca_p,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
KAT23,Acetyl CoA C acyltransferase  cis dec 3 enoyl CoA  C101d3 ,3oddccoa_c + coa_c --> accoa_c + decoa_c,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
KAS2,B-ketoacyl synthetase (n-C14:0),accoa_c + 17.0 h_c + 6.0 malcoa_c + 12.0 nadph_c --> 6.0 co2_c + 7.0 coa_c + 5.0 h2o_c + 12.0 nadp_c + ttdca_c,0.0,0.0,14.843307946618198,20.607864606626478,13.031786523289279,20.441671755562858,19.164876156298448,31.07214096329721,0.0,0.0,0.0,0.0,0.0,0.0
KAS7,B-ketoacyl synthetase (n-C16:1),accoa_c + 19.0 h_c + 7.0 malcoa_c + 13.0 nadph_c --> 7.0 co2_c + 8.0 coa_c + 6.0 h2o_c + hdcea_c + 13.0 nadp_c,0.0,0.0,14.843307946618198,20.607864606626478,13.031786523289279,20.441671755562858,19.164876156298448,31.07214096329721,0.0,0.0,0.0,0.0,0.0,0.0
KAS8,"B-ketoacyl synthetase (palmitate, n-C16:0)",accoa_c + 20.0 h_c + 7.0 malcoa_c + 14.0 nadph_c --> 7.0 co2_c + 8.0 coa_c + 6.0 h2o_c + hdca_c + 14.0 nadp_c,0.0,0.0,25.952450372074598,36.0137439727453,20.557184374766198,36.0259165593088,34.332799531336796,45.3698290152492,0.0,0.0,0.0,0.0,0.0,0.0
KAT10,Acetyl CoA C acyltransferase  3 oxoheptaryl CoA ,3ohpcoa_c + coa_c --> accoa_c + ptcoa_c,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
KAT16,Acetyl CoA C acyltransferase  3 oxophenylhexanoyl CoA ,3ophxacoa_c + coa_c --> accoa_c + pbcoa_c,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
KAT18,Acetyl CoA C acyltransferase  3 oxophenylbutyryl CoA ,3opbcoa_c + coa_c --> accoa_c + phaccoa_c,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
KAT20,Acetyl CoA C acyltransferase  cis hexadec 9 enoyl CoA ,3ovacccoa_c + coa_c --> accoa_c + hdcoa_c,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
KAT21,Acetyl CoA C acyltransferase  cis tetradec 7 enoyl CoA ,3ohdccoa_c + coa_c --> accoa_c + tdecoa_c,0.0,0.0,,,,,,,9.335345696991165,13.842269883830763,9.34472949639894,9.75224437552827,12.04310124934994,15.452233595606936
KAT24,Acetyl CoA C acyltransferase  cis hexadec 7 enoyl CoA ,3oodecoa_c + coa_c --> accoa_c + hdd7coa_c,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
KAS13,B-ketoacyl synthetase (octadecanoate),accoa_c + 23.0 h_c + 8.0 malcoa_c + 16.0 nadph_c --> 8.0 co2_c + 9.0 coa_c + 7.0 h2o_c + 16.0 nadp_c + ocdca_c,0.0,0.0,14.843307946618198,20.607864606626478,13.031786523289279,20.441671755562858,19.164876156298448,31.07214096329721,0.0,0.0,0.0,0.0,0.0,0.0
KAT25,Acetyl CoA C acyltransferase  cis tetradec 5 enoyl CoA ,3ohdd7coa_c + coa_c --> accoa_c + tded5coa_c,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
KAT26,Acetyl CoA C acyltransferase  cis dodedec 3 enoyl CoA  C121d3 ,3odd5coa_c + coa_c --> accoa_c + dded3coa_c,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
KAT27,Acetyl CoA C acyltransferase  cis hexadec 4 enoyl CoA ,3optslacoa_c + coa_c --> accoa_c + hdd4coa_c,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
KAT28,Acetyl CoA C acyltransferase  cis tetradec 2 enoyl CoA ,3ohdd4coa_c + coa_c --> accoa_c + tde_2Z_coa_c,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
KAT29,Acetyl CoA C acyltransferase  cis cis hexadec 7 10 dienoyl CoA ,3olnlccoa_c + coa_c --> accoa_c + hd_7_10_coa_c,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
KAT30,Acetyl CoA C acyltransferase  cis cis tetradec 5 8 dienoyl CoA ,3ohd710coa_c + coa_c --> accoa_c + td_5_8_coa_c,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
KAT31,Acetyl CoA C acyltransferase  cis cis dodedec 3 6 dienoyl CoA ,3ohd58coa_c + coa_c --> accoa_c + dd_3_6_coa_c,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
KAT32,Acetyl CoA C acyltransferase  4 cis decenoyl CoA ,3odd6coa_c + coa_c --> accoa_c + dec4coa_c,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
KAS17,B-ketoacyl synthetase (n-C18:1),accoa_c + 22.0 h_c + 8.0 malcoa_c + 15.0 nadph_c --> 8.0 co2_c + 9.0 coa_c + 7.0 h2o_c + 15.0 nadp_c + ocdcea_c,0.0,0.0,14.843307946618198,20.607864606626478,13.031786523289279,20.441671755562858,19.164876156298448,31.07214096329721,0.0,0.0,0.0,0.0,0.0,0.0
IZPN_1,Imidazolonepropionase,4izp_c + h2o_c --> forglu_c,0.0,0.0,2.28717638171161,1.46722660629703,2.56964804684576,2.02392789659038,1.2298316250031105,1.23838242969663,0.0,0.0,0.0,0.0,0.0,0.0
KG6PDC,3-keto-L-gulonate 6-phosphate decarboxylase,3dhgulnp_c + h_c --> co2_c + xu5p__L_c,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
INSt2,Inosine transport in via proton symport,h_e + ins_e --> h_c + ins_c,0.0,0.0,2.14714517466804,2.73437685718992,2.11078232419474,2.1251242914199,2.40842026563108,1.9138637549857,0.0,0.0,0.0,0.0,0.0,0.0
INDOLEt6,Indole transport out via proton antiport  periplasmexternal ,h_p + indole_p --> h_c + indole_e,0.0,0.0,355.86597416672004,396.484644292538,252.743240036187,285.981011788221,376.430963219701,234.89863086927397,0.0,0.0,0.0,0.0,0.0,0.0
INDOLEtex,Indole transport via diffusion (extracellular to periplasm),indole_e <=> indole_p,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
INOSR,Ketoinositol reductase,inost_c + nadp_c <-- 2ins_c + h_c + nadph_c,0.0,0.0,9.19538259586095,13.27173157514136,7.158305273356061,7.28614042772538,15.219166359413471,12.15866385520325,0.0,0.0,0.0,0.0,0.0,0.0
INS2D,Inositol 2-dehydrogenase,inost_c + nad_c --> 2ins_c + h_c + nadh_c,0.0,0.0,12.136037943775861,15.60595572152295,13.949517968591298,10.726817851929018,12.042101328155422,14.74800893547802,0.0,0.0,0.0,0.0,0.0,0.0
INSCR,Inositol catabolic reactions  lumped ,2ins_c + atp_c --> adp_c + dhap_c + 2.0 h_c + msa_c,0.0,0.0,1.07357258733402,1.26715025089289,1.19305087889268,0.7083747638066341,1.79350445312953,0.619191214848314,0.0,0.0,0.0,0.0,0.0,0.0
INSH,Inosine hydrolase,h2o_c + ins_c --> hxan_c + rib__D_c,0.0,0.0,73.65641490491657,62.290438649155725,70.66532128825855,64.66449629606278,68.66559906267342,65.57797866348045,0.0,0.0,0.0,0.0,0.0,0.0
INSTabc,Inositol transport in via ABC transport,atp_c + h2o_c + inost_e --> adp_c + h_c + inost_c + pi_c,0.0,0.0,0.746833104232361,0.600229066212421,0.8259583007718531,0.607178368977115,0.7686447656269421,0.4503208835260461,0.0,0.0,0.0,0.0,0.0,0.0
INSTt2,Inositol transport in via proton symport,h_e + inost_e --> h_c + inost_c,0.0,0.0,17.1771613973443,19.67417494807384,15.050795702953769,12.851942143348928,15.88532515629012,13.39704628489988,0.0,0.0,0.0,0.0,0.0,0.0
INSt3pp,Inosine transport out via proton antiport (perisplasm),h_p + ins_c --> h_c + ins_p,0.0,0.0,1.1669267253630602,1.5339187247650805,1.74368974607391,2.1251242914199,1.7422614687544,1.80128353410419,0.0,0.0,0.0,0.0,0.0,0.0
IZPN,Imidazolonepropionase,4izp_c + h2o_c --> forglu_c,0.0,0.0,4.43432155637964,5.60213795131593,5.04752294916132,4.04785579318077,5.687971265639371,4.672079166582732,0.0,0.0,0.0,0.0,0.0,0.0
INStex,Inosine transport via diffusion (extracellular to periplasm),ins_e <=> ins_p,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
IPDAB,IPDAB,5ohhip_c + atp_c + coa_c + 3.0 h_c --> 5ohhipcoa_c + amp_c + ppi_c,0.0,0.0,3.03400948594397,3.26791380493429,2.47787490231556,1.11316034312471,5.2267844062632,3.03966596380081,0.0,0.0,0.0,0.0,0.0,0.0
IPDPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp),h2mb4p_c + h_c + nadh_c --> h2o_c + ipdp_c + nad_c,0.0030816162604891933,0.0,4196.64192095769,5210.05498684228,3483.70856636662,2750.8216006508196,5005.31222779389,4093.30425103088,0.0,0.0,0.0,0.0,0.0,0.0
ISETACabcpp,Isethionate transport via ABC system (periplasm),atp_c + h2o_c + isetac_p --> adp_c + h_c + isetac_c + pi_c,0.0,0.0,11.622590184616127,11.204275902631853,13.215332812349661,11.536389010565177,13.42566190628391,17.449934236634288,0.0,0.0,0.0,0.0,0.0,0.0
ISETACtex,Isethionate transport via diffusion (extracellular to periplasm),isetac_e <=> isetac_p,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
ISOAML,Isoamylase,bglyg4n_c + h2o_c --> maltttr_c,0.0,0.0,98.7686780347297,86.96652248233299,87.368033592756,75.5937069376508,75.48091598456571,76.27309964722409,0.0,0.0,0.0,0.0,0.0,0.0
ISTNTabc,Isethionate transport via ABC system,atp_c + h2o_c + istnt_e --> adp_c + h_c + istnt_c + pi_c,0.0,0.0,0.560124828174271,0.533536947744375,0.550638867181235,0.5059819741475959,0.461186859376165,0.844351656611337,0.0,0.0,0.0,0.0,0.0,0.0
IVCS,Isovaleryl CoA synthetase,3mb_c + atp_c + coa_c --> amp_c + ivcoa_c + ppi_c,0.0,0.0,12.462777426877501,13.605192167481501,11.3798699217455,11.5363890105652,13.784362796909802,14.3539781623927,0.0,0.0,0.0,0.0,0.0,0.0
KAT33,3 Oxopentanoyl CoA thiolase,3oxptcoa_c + coa_c --> accoa_c + ppcoa_c,0.0,0.0,,,,,,,11.78230314928314,17.8874321997324,11.517260432257899,10.502967282439219,11.913712138018054,15.536070481648599
KSH,R09860,andrs14dn317dn_c + h_c + nadh_c + o2_c --> 9ohadd_c + h2o_c + nad_c,0.0,0.0,24.272075887551694,20.7412488435626,17.0698048826183,26.311062655675002,25.1090623438134,27.356993674207306,0.0,0.0,0.0,0.0,0.0,0.0
LNLCtexi,Linoleic acid  n C182  transport periplasm,lnlc_e --> lnlc_p,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
LEUTA,Leucine transaminase,akg_c + leu__L_c <=> 4mop_c + glu__L_c,0.0,0.0,573.6611781884817,527.9348097930583,723.2641520425531,670.1225265610756,548.7611196732609,485.83994321416355,16.26330061573924,25.158876912177014,17.229585500583,19.845550186786195,18.23093690849507,30.32688038346162
LCYSTabc,Cysteate transport via ABC system,Lcyst_e + atp_c + h2o_c --> Lcyst_c + adp_c + h_c + pi_c,0.0,0.0,0.560124828174271,0.533536947744375,0.550638867181235,0.5059819741475959,0.461186859376165,0.844351656611337,0.0,0.0,0.0,0.0,0.0,0.0
LDGUNPD,Linear diguanylate phosphodiesterase,5pg35pg_c + h2o_c --> 2.0 gmp_c + h_c,0.0,0.0,17.410546742416898,22.6753202791359,21.842008398189,15.2806556192574,16.9101848437927,19.6452485438238,0.0,0.0,0.0,0.0,0.0,0.0
LDH_D,D-lactate dehydrogenase,lac__D_c + nad_c <=> h_c + nadh_c + pyr_c,0.0,0.0,3.9208737972198895,4.00152710808281,3.76269892573844,5.161016136305482,1.99847639063005,15.4234902607671,-3.9208737972198895,-4.00152710808281,-3.76269892573844,-5.161016136305482,-1.99847639063005,-15.4234902607671
LDH_D2,D-lactate dehydrogenase,lac__D_c + q8_c --> pyr_c + q8h2_c,0.0,0.0,16.1035888100103,20.4077882512223,17.345124316208903,30.3589184488557,30.130874812576103,27.356993674207306,2.84730120988587,2.4676083833177294,3.0285137694967927,4.25024858283981,0.40994387500103996,14.579138604155764
LDH_L,L-lactate dehydrogenase,lac__L_c + nad_c <=> h_c + nadh_c + pyr_c,0.0,0.0,332.760825004531,307.850818848504,317.167987496392,279.403246124303,321.549726953937,352.207221027809,-50.223874085302334,-91.67488953953534,-50.358704511032556,-72.86084592330329,-61.25853290237061,-96.97912612091234
LEULEULAPc,Hydrolysis of Leucylleucine in the small intestine for cellular uptake,h2o_c + leuleu_c <=> 2.0 leu__L_c,0.0,0.0,150.90696412395098,185.20401298576598,130.684957811013,95.83298590355459,233.77049471933998,186.545426000665,0.0,0.0,0.0,0.0,0.0,0.0
LEULEUabcpp,L leucylleucine  leuleu  transport via ABC system  periplasm ,atp_c + h2o_c + leuleu_p --> adp_c + h_c + leuleu_c + pi_c,0.0,0.0,3.5941343141182394,3.668066515742578,4.22156464838947,4.756230556987403,3.6382518906341903,4.61578905614197,0.0,0.0,0.0,0.0,0.0,0.0
LEULEUtex,Leucylleucine transport via diffusion  extracellular to periplasm ,leuleu_e <=> leuleu_p,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
LEUTAi,Leucine transaminase (irreversible),4mop_c + glu__L_c --> akg_c + leu__L_c,0.0,0.0,0.5134477591597479,0.533536947744375,0.458865722651029,0.101196394829519,0.358700890625906,0.337740662644535,0.0,0.0,0.0,0.0,0.0,0.0
LCTSabc,Lactose transport via ABC system (import),atp_c + h2o_c + lcts_e --> adp_c + h_c + lcts_c + pi_c,0.0,0.0,24.085367611493602,35.480207025000894,16.6109391599673,13.256727722667,22.956857000057997,28.3139255517002,0.0,0.0,0.0,0.0,6.452598551057476e-13,0.0
LEUabc,L-leucine transport via ABC system,atp_c + h2o_c + leu__L_e --> adp_c + h_c + leu__L_c + pi_c,0.0,0.0,126.07476340822532,127.31525415550118,121.69118964705287,128.0134394593421,173.6112310629384,158.5692411116091,0.0,0.0,0.0,0.0,0.0,0.0
LEUabcpp,L-leucine transport via ABC system (periplasm),atp_c + h2o_c + leu__L_p --> adp_c + h_c + leu__L_c + pi_c,0.0,0.0,271.5205104574775,356.40268109324177,196.94516816182232,198.34493386585763,343.07178039149153,497.94231695892614,0.0,0.0,0.0,0.0,0.0,0.0
LEUt2r,L leucine reversible transport via proton symport,h_e + leu__L_e --> h_c + leu__L_c,0.0,0.0,28.89310571998949,36.5472809204897,30.10159140590755,30.46011484368524,27.824940515695303,26.906672790681313,0.0,0.0,0.0,0.0,0.0,0.0
LEUt4rpp,L-leucine transport in via sodium symport,leu__L_p + na1_p <=> leu__L_c + na1_c,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
LEVUACOAL,Levulinate CoA ligase,4oxptn_c + atp_c + coa_c --> 4oxptcoa_c + amp_c + ppi_c,0.0,0.0,14.7032767395746,15.8727241953951,13.3988791014101,14.977066434768801,19.6260630156746,23.247815612032102,0.0,0.0,0.0,0.0,0.0,0.0
LGTHL,Lactoylglutathione lyase,gthrd_c + mthgxl_c --> lgt__S_c,0.0,0.0,12.882871048008196,21.8083227390513,15.0507957029538,12.649549353689899,17.115156781293198,21.165081525724197,0.0,0.0,0.0,0.0,0.0,0.0
LMN2,Laminaribiase,h2o_c + lmn2_c --> 2.0 glc__D_c,0.0,0.0,52.41834850330879,46.0842538614203,65.1589326164462,53.026910890668,49.6032088751253,53.30673458739571,0.0,0.0,0.0,0.0,0.0,0.0
LMN2abc,Laminoribiose transport via ABC-transporter,atp_c + h2o_c + lmn2_e --> adp_c + h_c + lmn2_c + pi_c,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
LCTSt3ipp,Lactose transport via proton aniport (periplasm),h_p + lcts_c --> h_c + lcts_p,0.0,0.0,65.6279590344188,41.682574042529275,86.35852900292375,44.83000290947699,46.37490085949222,62.200572037035116,0.0,0.0,0.0,0.0,0.0,0.0
LCARSyi,"Lacaldehyde reductase (S-propane-1,2-diol forming)",h_c + lald__L_c + nadph_c --> 12ppd__S_c + nadp_c,0.0,0.0,17.597255018475,19.0739458818614,17.9875363279204,23.376367205618898,22.188212234431,27.7510244472926,0.0,0.0,0.0,0.0,0.0,0.0
KSTD,MNXR85993,andrstndn_c + nad_c --> andrs14dn317dn_c + h_c + nadh_c,0.0,0.0,1.68037448452281,2.60099262025383,0.8259583007718531,1.61914231727231,1.94723340625492,2.02644397586721,0.0,0.0,0.0,0.0,0.0,0.0
LACZ,B-galactosidase,h2o_c + lcts_c --> gal_c + glc__D_c,0.0,0.0,21.6581600227385,26.6768473872187,19.4559066404036,14.8758700399393,29.464716015699395,23.4729760537952,0.0,0.0,0.0,0.0,6.452598551057476e-13,0.0
Kabc,Potassium ABC transporter,atp_c + h2o_c + k_e --> adp_c + h_c + k_c + pi_c,0.0,0.0,23.89865933543557,16.6730296170117,20.0065455075849,13.965102486473654,28.132398421946043,12.94672540137385,0.0,0.0,0.0,0.0,0.0,0.0
Kabcpp,Potassium ABC transporter (periplasm),atp_c + h2o_c + k_p --> adp_c + h_c + k_c + pi_c,0.0,0.0,84.858911468402,68.7595741405563,90.67186679584341,97.0473426415089,88.1891761095978,57.5847829808932,0.0,0.0,0.0,0.0,0.0,0.0
Kt2pp,Potassium transport in via proton symport (periplasm),h_p + k_p --> h_c + k_c,0.0,0.0,268.0664073504028,252.0295156907489,294.40824765290046,273.12906964487274,251.6030532818858,223.07770767671502,0.0,0.0,0.0,0.0,0.0,0.0
Kt2r,Potassium reversible transport  via proton symport,h_e + k_e --> h_c + k_c,0.0,0.0,2.8939782789004,4.801832529699371,3.48737949214782,3.7442666086922096,3.89446681250984,4.3343385039382,2.8939782789003994,4.801832529699371,3.4873794921478205,3.744266608692209,3.89446681250984,4.3343385039382
Kt3pp,Potassium transport out via proton antiport (periplasm),h_p + k_c --> h_c + k_p,0.0,0.0,384.7124028176952,386.6142107592674,394.9916140580059,336.3768164133215,341.3295189227367,289.50003799680735,0.0,0.0,0.0,0.0,0.0,0.0
Kt3r,Potassium transport out via proton antiport,h_e + k_c --> h_c + k_e,0.0,0.0,190.0223479581218,216.616000784216,176.5715300761163,160.8010713841061,175.50722148481833,133.2386914132689,12.065851374526456,10.967664448036757,12.76976502026406,11.443921709309697,13.079141281041393,5.708171322141336
L2OA,,h_c + isocaprecoa_c + nadh_c --> isocapcoa_c + nad_c,0.0,0.0,1.5870203464937698,1.20045813242484,0.9177314453020592,0.910767553465672,1.2298316250031105,1.0132219879336,0.0,0.0,0.9177314453020592,0.910767553465672,1.02485968750259,1.0132219879336
LAAL1,L amino acid ligase  L glycine L glycine ,atp_c + 2.0 gly_c --> adp_c + glygly_c + h_c + pi_c,0.0,0.0,1.21360379437759,1.1337660139568002,1.00950458983226,1.72033871210183,1.02485968750259,0.900641767052093,0.0,0.0,0.0,0.0,0.0,0.0
LACZpp,B-galactosidase,h2o_p + lcts_p --> gal_p + glc__D_p,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
LCARS,"Lacaldehyde reductase (S-propane-1,2-diol forming)",h_c + lald__L_c + nadh_c <=> 12ppd__S_c + nad_c,0.0,0.0,23.898659335435546,21.208093672838892,25.880026757518074,31.168489607491914,27.26126768756886,27.63844422641109,0.0,0.0,0.0,0.0,0.0,0.0
LADGMDH,L-alanyl-gamma-D-glutamyl-meso-diaminopimelate hydrolase,LalaDgluMdap_c + h2o_c --> 26dap__M_c + LalaDglu_c,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
LALALGLUtex,L-alanyl-L-glutamate transport via diffusion (extracellular to periplasm),LalaLglu_e <=> LalaLglu_p,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
