name,genes,reaction_id,reaction
L-threonine transport via ABC system,WP_005251655_1 or WP_025432117_1 or ( WP_005244316_1 and WP_005244318_1 and WP_005244465_1 ),THRabc,atp_c + h2o_c + thr__L_e --> adp_c + h_c + pi_c + thr__L_c
L-isoleucine transport via ABC system,WP_005251655_1 or WP_025432117_1 or ( WP_005244316_1 and WP_005244318_1 and WP_005244465_1 ),ILEabc,atp_c + h2o_c + ile__L_e --> adp_c + h_c + ile__L_c + pi_c
L-proline transport via ABC system,WP_005251655_1 or WP_025432117_1 or ( WP_005244054_1 and WP_005254252_1 ) or ( WP_005239314_1 and WP_005239327_1 and WP_025432197_1 and WP_025432198_1 ),PROabc,atp_c + h2o_c + pro__L_e --> adp_c + h_c + pi_c + pro__L_c
L-glutamate transport via ABC system,WP_005251655_1 or WP_025432117_1 or ( WP_005240751_1 and WP_025432117_1 ) or ( WP_005249318_1 and WP_025432117_1 ),GLUabc,atp_c + glu__L_e + h2o_c --> adp_c + glu__L_c + h_c + pi_c
L-arginine transport via ABC system,WP_005251655_1 or WP_025432117_1 or ( WP_005240751_1 and WP_025432117_1 ),ARGabc,arg__L_e + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c
,WP_005251655_1 or WP_025432117_1,TYRabc,atp_c + h2o_c + tyr__L_e --> adp_c + h_c + pi_c + tyr__L_c
L-asparagine transport via ABC system,WP_005251655_1 or WP_025432117_1,ASNabc,asn__L_e + atp_c + h2o_c --> adp_c + asn__L_c + h_c + pi_c
,WP_005251655_1 or WP_025432117_1,PHEabc,atp_c + h2o_c + phe__L_e --> adp_c + h_c + phe__L_c + pi_c
,WP_005251655_1 or WP_025432117_1,TRPabc,atp_c + h2o_c + trp__L_e --> adp_c + h_c + pi_c + trp__L_c
Glycine transport via ABC system,WP_005251655_1 or WP_025432117_1,GLYabc,atp_c + gly_e + h2o_c --> adp_c + gly_c + h_c + pi_c
L-serine transport via ABC system,WP_005251655_1 or WP_025432117_1,SERabc,atp_c + h2o_c + ser__L_e --> adp_c + h_c + pi_c + ser__L_c
L-lysine transport via ABC system,WP_005251655_1 or WP_025432117_1,LYSabc,atp_c + h2o_c + lys__L_e --> adp_c + h_c + lys__L_c + pi_c
L-methionine transport via ABC system,WP_005251655_1 or WP_005252477_1 or WP_005252478_1 or WP_025431920_1 or WP_025432117_1 or ( WP_005252476_1 and WP_005252477_1 ) or ( WP_005252477_1 and WP_005252478_1 ) or ( WP_005252476_1 and WP_005252477_1 and WP_005252478_1 ),METabc,atp_c + h2o_c + met__L_e --> adp_c + h_c + met__L_c + pi_c
O-succinylhomoserine lyase (H2S),WP_005251648_1 or WP_025433060_1,SHSL2r,h2s_c + suchms_c <=> h_c + hcys__L_c + succ_c
R01195,WP_005251645_1 or WP_025431949_1,FPRA,fdxrd_c + h_c + nadp_c --> fdxox_c + nadph_c
Thymidylate synthase,WP_005251636_1,TMDS,dump_c + mlthf_c --> dhf_c + dtmp_c
Glycine transport in via proton symport (periplasm),WP_005251594_1,GLYt2pp,gly_p + h_p --> gly_c + h_c
D-serine transport in via proton symport (periplasm),WP_005251594_1,DSERt2pp,h_p + ser__D_p --> h_c + ser__D_c
L-alanine transport in via proton symport (periplasm),WP_005251594_1,ALAt2pp,ala__L_p + h_p --> ala__L_c + h_c
D-alanine transport in via proton symport (periplasm),WP_005251594_1,DALAt2pp,ala__D_p + h_p --> ala__D_c + h_c
2 oxoglutarate reversible transport via symport,WP_005251525_1,AKGt2r,akg_e + h_e --> akg_c + h_c
Glutarate reversible transport via symport  periplasm ,WP_005251525_1,GLUTARt2rpp,glutar_p + h_p --> glutar_c + h_c
Methylglutaconyl-CoA hydratase,WP_005251515_1,MGCH,3mgcoa_c + h2o_c <=> hmgcoa_c
Fumarylacetoacetase,WP_005251513_1,FUMAC,4fumacac_c + h2o_c --> acac_c + fum_c + h_c
Ydroxyphenylacetate transport in via proton symporter,WP_005251503_1,HPACt2r,4hphac_e + h_e --> 4hphac_c + h_c
Spermidine synthase,WP_005251495_1,SPMS,ametam_c + ptrc_c --> 5mta_c + h_c + spmd_c
Isochorismatase,WP_005251483_1,ICHORT,h2o_c + ichor_c --> 23ddhb_c + pyr_c
4 (Phosphooxy pentanoyl CoA mutase,WP_005251452_1,4POPCOAM2,3ptcoa_c <=> 2ptcoa_c
4 (Phosphooxy pentanoyl CoA mutase,WP_005251452_1,4POPCOAM3,2ptcoa_c + h2o_c --> 3hptcoa_c
4 (Phosphooxy pentanoyl CoA mutase,WP_005251452_1,4POPCOAM,4poptcoa_c --> 3ptcoa_c + pi_c
"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:0)",WP_005251426_1 or WP_025433436_1,LPLIPAL2E160,2agpe160_c + h2o_c --> g3pe_c + h_c + hdca_c
Oxaloacetate decarboxylase,WP_005251401_1,OAADC,h_c + oaa_c --> co2_c + pyr_c
Mucolactone isomerase,WP_005251393_1,MUCLI,mucl_c <=> 5odhf2a_c
"1,2-dihydrodihydroxybenzoate dehydrogenase",WP_005251366_1,BZDIOLDH,bz12diol_c + nad_c --> catechol_c + co2_c + nadh_c
"Aconitase (half-reaction A, Citrate hydro-lyase)",WP_005251340_1,ACONTa,cit_c <=> acon_C_c + h2o_c
"Aconitase (half-reaction B, Isocitrate hydro-lyase)",WP_005251340_1,ACONTb,acon_C_c + h2o_c <=> icit_c
Ferrochelatase,WP_005251301_1 or WP_025432543_1,FCLT,fe2_c + ppp9_c --> 2.0 h_c + pheme_c
2-Octaprenylphenol hydroxylase,WP_005251254_1,OPHHX,2oph_c + 0.5 o2_c --> 2ohph_c
"D-gluconate transport via proton symport, reversible (periplasm)",WP_005251223_1 or WP_005251408_1,GLCNt2rpp,glcn_p + h_p --> glcn_c + h_c
Beta-alanine transport in via proton symport (periplasm),WP_005251210_1 or WP_005251594_1,BALAt2pp,ala_B_p + h_p --> ala_B_c + h_c
4 hydroxyphenylacetate 3 monooxygenase nadh,WP_005251125_1 or WP_025433337_1,4HOXPACMON,4hoxpac_c + h_c + nadh_c + o2_c --> 34dhpacet_c + h2o_c + nad_c
4 hydroxyphenylacetate 3 monooxygenase nadh,WP_005251125_1 or WP_025433065_1 or WP_025433337_1 or ( WP_005251125_1 and WP_025433337_1 ),HPA3MO,4hphac_c + h_c + nadh_c + o2_c --> 34dhpha_c + h2o_c + nad_c
4 hydroxyphenylacetate 3 monooxygenase FADH2,WP_005251125_1,4HOXPACMOF,4hphac_c + fadh2_c + o2_c --> 34dhpha_c + fad_c + h2o_c
4 hydroxyphenylacetate 3 monooxygenase FADH2,WP_005251125_1,4HOXPACMOF_1,4hoxpac_c + fadh2_c + o2_c --> 34dhpacet_c + fad_c + h2o_c
"Catechol 1,2-dioxygenase;",WP_005251124_1 or WP_005251389_1,CATDOX,catechol_c + o2_c --> ccmuac_c + 2.0 h_c
Glycolate transport via sodium symport (periplasm),WP_005251101_1 or WP_025433374_1,GLYCLTt4pp,glyclt_p + na1_p --> glyclt_c + na1_c
5'-nucleotidase (dTMP),WP_005251092_1 or WP_025431673_1,NTD5,dtmp_c + h2o_c --> pi_c + thymd_c
5'-nucleotidase (UMP),WP_005251092_1 or WP_005562415_1 or WP_025431673_1,NTD2,h2o_c + ump_c --> pi_c + uri_c
5'-nucleotidase (dUMP),WP_005251092_1,NTD1,dump_c + h2o_c --> duri_c + pi_c
,WP_005251090_1,DOP2,dap24_c + h2o_c + nad_c --> a24op_c + nadh_c + nh4_c
,WP_005251090_1,DOP1,dap24_c + h2o_c + nadp_c --> a24op_c + nadph_c + nh4_c
4 hydroxybenzoate NADPHoxygen oxidoreductase  3 hydroxylating ,WP_005251081_1,4HBHYOX,4hbz_c + h_c + nadph_c + o2_c --> 34dhbz_c + h2o_c + nadp_c
Allantoin racemase,WP_005251023_1,ALLTNRA,alltn__R_c <=> alltn_c
Glycerate kinase,WP_005251015_1 or WP_226955690_1,GLYCK2,atp_c + glyc__R_c --> 2pg_c + adp_c + h_c
Hydroxypyruvate isomerase,WP_005251011_1,HPYRI,hpyr_c <=> 2h3oppan_c
Histidase r,WP_005250990_1 or WP_025432949_1 or WP_025433165_1,HISDr,his__L_c --> nh4_c + urcan_c
Phenethylamine oxidase,WP_005250970_1,PEAMNOpp,h2o_p + o2_p + peamn_p --> h2o2_p + nh4_p + pacald_p
"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",WP_005250970_1,42A12BOOXpp,dopa_p + h2o_p + o2_p --> 34dhpac_p + h2o2_p + nh4_p
Naphthoate synthase a,WP_005250948_1,NPHSa,h_c + sbzcoa_c --> 14dh2napcoa_c + h2o_c
,WP_005250947_1,T2ECR,b2coa_c + h_c + nadph_c --> btcoa_c + nadp_c
,WP_005250947_1,MB2CFO,fad_c + m2bcoa_c --> 2mb2coa_c + fadh2_c + 4.0 h_c
,WP_005250947_1,L2OA,h_c + isocaprecoa_c + nadh_c --> isocapcoa_c + nad_c
Acyl-CoA dehydrogenase (butanoyl-CoA),WP_005250947_1,ACOAD1fr,b2coa_c + fadh2_c --> btcoa_c + fad_c
Fatty-acid--CoA ligase (octanoate),WP_005250931_1 or WP_025432121_1,FACOAL80,atp_c + coa_c + octa_c --> amp_c + occoa_c + ppi_c
Long-Chain-Fatty-Acid Coenzyme A Ligase,WP_005250931_1,HMR_0188,atp_c + coa_c + ddca_c --> amp_c + ddcacoa_c + ppi_c
R 3 Hydroxyacid Acyl CoA Synthetase  Phenyl C50 ,WP_005250931_1,ACSPHACP50,R_3hppta_c + atp_c + coa_c --> R_3hpptcoa_c + amp_c + ppi_c
R 3 Hydroxyacid Acyl CoA Synthetase  Phenyl C60 ,WP_005250931_1,ACSPHACP60,R_3hphxa_c + atp_c + coa_c --> R_3hphxacoa_c + amp_c + ppi_c
R 3 Hydroxyacid Acyl CoA Synthetase  Phenyl C70 ,WP_005250931_1,ACSPHACP70,R_3hphpa_c + atp_c + coa_c --> R_3hphpcoa_c + amp_c + ppi_c
R 3 Hydroxyacid Acyl CoA Synthetase  Phenyl C80 ,WP_005250931_1,ACSPHACP80,R_3hpocta_c + atp_c + coa_c --> R_3hpoctacoa_c + amp_c + ppi_c
R 3 Hydroxyacid Acyl CoA Synthetase  Phenyl C90 ,WP_005250931_1,ACSPHACP90,R_3hpnona_c + atp_c + coa_c --> R_3hpnonacoa_c + amp_c + ppi_c
R 3 Hydroxyacid Acyl CoA Synthetase  Acetylthio C40 ,WP_005250931_1,ACSPHACT40,R_3h4atba_c + atp_c + coa_c --> R_3h4atbcoa_c + amp_c + ppi_c
Fatty acid  CoA ligase  hexanoate ,WP_005250931_1,FACOAL60i,atp_c + coa_c + hxa_c --> amp_c + hxcoa_c + ppi_c
Linoleic acid:CoA ligase (AMP-forming),WP_005250931_1,FACOAL1821,atp_c + coa_c + lnlc_c --> amp_c + lnlccoa_c + ppi_c
R 3 Hydroxyacid Acyl CoA Synthetase  Acetylthio C60 ,WP_005250931_1,ACSPHACT60,R_3h6atha_c + atp_c + coa_c --> R_3h6athcoa_c + amp_c + ppi_c
Fatty acid  CoA ligase  pentanoate,WP_005250931_1,FACOAL50i,atp_c + coa_c + pta_c --> amp_c + ppi_c + ptcoa_c
R 3 Hydroxyacid Acyl CoA Synthetase  Phenyl C100 ,WP_005250931_1,ACSPHACP100,R_3hpdeca_c + atp_c + coa_c --> R_3hpdecacoa_c + amp_c + ppi_c
Fatty acid  CoA ligase  nonanoic acid ,WP_005250931_1,FACOAL90i,atp_c + coa_c + nona_c --> amp_c + nonacoa_c + ppi_c
Acyl-CoA synthetase (7:0),WP_005250931_1,FACOAL_70_c,atp_c + coa_c + hpta_c --> amp_c + hptcoa_c + ppi_c
R 3 Hydroxyacid Acyl CoA Synthetase  Phenyl C40 ,WP_005250931_1,ACSPHACP40,R_3hpba_c + atp_c + coa_c --> R_3hpbcoa_c + amp_c + ppi_c
Fatty acid  CoA ligase  tetradecenoate ,WP_005250931_1,FACOAL141,atp_c + coa_c + ttdcea_c --> amp_c + ppi_c + tdecoa_c
Fatty-acid--CoA ligase,WP_005250931_1,FACOAL1812,atp_c + coa_c + vacc_c --> amp_c + ppi_c + vacccoa_c
R 3 Hydroxyacid Acyl CoA Synthetase  C140 ,WP_005250931_1,ACSPHAC140,R_3httdca_c + atp_c + coa_c --> R_3hmrscoa_c + amp_c + ppi_c
R 3 Hydroxyacid Acyl CoA Synthetase  C141 ,WP_005250931_1,ACSPHAC141,R_3hcmrs7e_c + atp_c + coa_c --> R_3hcmrs7ecoa_c + amp_c + ppi_c
R 3 Hydroxyacid Acyl CoA Synthetase  C141 ,WP_005250931_1,ACSPHAC141d5,R_3htd5e_c + atp_c + coa_c --> R_3htd5coa_c + amp_c + ppi_c
R 3 Hydroxyacid Acyl CoA Synthetase  C142 ,WP_005250931_1,ACSPHAC142,R_3htd58e_c + atp_c + coa_c --> R_3htd58coa_c + amp_c + ppi_c
R 3 Hydroxyacid Acyl CoA Synthetase  C160 ,WP_005250931_1,ACSPHAC160,R_3hhdca_c + atp_c + coa_c --> R_3hhdcoa_c + amp_c + ppi_c
R 3 Hydroxyacid Acyl CoA Synthetase  C40 ,WP_005250931_1,ACSPHAC40,atp_c + bhb_c + coa_c --> 3hbcoa__R_c + amp_c + ppi_c
R 3 Hydroxyacid Acyl CoA Synthetase  C50 ,WP_005250931_1,ACSPHAC50,R_3hpt_c + atp_c + coa_c --> R_3hptcoa_c + amp_c + ppi_c
R 3 Hydroxyacid Acyl CoA Synthetase  C60 ,WP_005250931_1,ACSPHAC60,R_3hhxa_c + atp_c + coa_c --> R_3hhcoa_c + amp_c + ppi_c
R 3 Hydroxyacid Acyl CoA Synthetase  C70 ,WP_005250931_1,ACSPHAC70,R_3hhpa_c + atp_c + coa_c --> R_3hhpcoa_c + amp_c + ppi_c
R 3 Hydroxyacid Acyl CoA Synthetase  C121 ,WP_005250931_1,ACSPHAC121,R_3hdd5ea_c + atp_c + coa_c --> R_3hcddec5ecoa_c + amp_c + ppi_c
R 3 Hydroxyacid Acyl CoA Synthetase  C80 ,WP_005250931_1,ACSPHAC80,R_3hocta_c + atp_c + coa_c --> R_3hocoa_c + amp_c + ppi_c
Fatty acid  CoA ligase  octadecanoate ,WP_005250931_1,FACOAL180,atp_c + coa_c + ocdca_c --> amp_c + ppi_c + stcoa_c
R 3 Hydroxyacid Acyl CoA Synthetase  C120 ,WP_005250931_1,ACSPHAC120,R_3hdda_c + atp_c + coa_c --> R_3hddcoa_c + amp_c + ppi_c
R 3 Hydroxyacid Acyl CoA Synthetase  C101 ,WP_005250931_1,ACSPHAC101,R3hdec4e_c + atp_c + coa_c --> R3hdec4coa_c + amp_c + ppi_c
R 3 Hydroxyacid Acyl CoA Synthetase  C100 ,WP_005250931_1,ACSPHAC100,R_3hdcaa_c + atp_c + coa_c --> R_3hdcoa_c + amp_c + ppi_c
R 3 Hydroxyacid Acyl CoA Synthetase  C90 ,WP_005250931_1,ACSPHAC90,R_3hnonaa_c + atp_c + coa_c --> R_3hnonacoa_c + amp_c + ppi_c
R 3 Hydroxyacid Acyl CoA Synthetase  C121d6 ,WP_005250931_1,ACSPHAC121d6,R_3hdd6e_c + atp_c + coa_c --> R_3hdd6coa_c + amp_c + ppi_c
2-dehydro-3-deoxy-phosphogluconate aldolase,WP_005250926_1 or WP_005251224_1 or WP_005251401_1,EDA,2ddg6p_c --> g3p_c + pyr_c
2-dehydro-3-deoxy-phosphogluconate aldolase,WP_005250926_1 or WP_005251224_1,DDPGA,4h2oglt_c <=> glx_c + pyr_c
Aldehyde dehydrogenase  methylmalonate semialdehyde  NAD ,WP_005250914_1 or WP_005251153_1,ALDD4x,h2o_c + mmalsa__S_c + nad_c --> 2.0 h_c + mmal_c + nadh_c
Aldehyde dehydrogenase  propanal  NAD ,WP_005250914_1 or WP_005251153_1,ALDD3,h2o_c + nad_c + ppal_c --> 2.0 h_c + nadh_c + ppa_c
Aldehyde dehydrogenase  hexanal  NAD ,WP_005250914_1 or WP_005251153_1,ALDD6,h2o_c + hxal_c + nad_c --> 2.0 h_c + hxa_c + nadh_c
Aldehyde dehydrogenase  pentanal  NAD ,WP_005250914_1 or WP_005251153_1,ALDD5,h2o_c + nad_c + ptal_c --> 2.0 h_c + nadh_c + pta_c
"Aldehyde dehydrogenase (butanal, NAD)",WP_005250914_1 or WP_005251153_1,ALDD4,btal_c + h2o_c + nad_c --> but_c + 2.0 h_c + nadh_c
Aldehyde dehydrogenase  aminoacetaldehyde  NAD ,WP_005250914_1 or WP_005251153_1,ALDD31_1,amacald_c + h2o_c + nad_c --> gly_c + 2.0 h_c + nadh_c
Glyoxylate oxidase,WP_005250914_1 or WP_005251153_1,GLXO1,glx_c + h2o_c + nad_c --> 2.0 h_c + nadh_c + oxa_c
Glycine betaine CoA thioesterase,WP_005250895_1,GLYBCOAT,glybcoa_c + h2o_c --> coa_c + glyb_c + h_c
Naphthoate synthase,WP_005250877_1 or WP_005252069_1 or WP_025433341_1,NPHS,sbzcoa_c --> coa_c + dhna_c
"1,4-dihydroxy-2-napthoyl-CoA synthase",WP_005250877_1,DHNCOAS,h_c + sbzcoa_c --> 14dhncoa_c + h2o_c
Hydroxymethylglutaryl-CoA lyase,WP_005250875_1 or WP_025431938_1 or WP_037179844_1,HMGL,hmgcoa_c --> acac_c + accoa_c
,WP_005250875_1,ATAH_1,alltt_c + h2o_c <=> urdglyc_c + urea_c
Acetate-CoA ligase (ADP-forming),WP_005250868_1,ACCOAL,atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c
,WP_005250851_1 and WP_005250852_1 and WP_050983332_1,H2CD,h2isocapcoa_c + h_c --> h2o_c + isocaprecoa_c
Isovaleryl CoA synthetase,WP_005250849_1,IVCS,3mb_c + atp_c + coa_c --> amp_c + ivcoa_c + ppi_c
Maltose transport via ABC system,WP_005250846_1 or WP_025432120_1 or WP_226955514_1 or ( WP_005238326_1 and WP_025432067_1 ) or ( WP_005239291_1 and WP_005239292_1 and WP_005239295_1 and WP_187300152_1 ) or ( WP_005242678_1 and WP_005248574_1 and WP_025433323_1 and WP_226955707_1 ),MALTabc,atp_c + h2o_c + malt_e --> adp_c + h_c + malt_c + pi_c
D-glucose transport via ABC system,WP_005250846_1 or ( WP_005239291_1 and WP_005239292_1 and WP_005239295_1 and WP_187300152_1 ) or ( WP_005242678_1 and WP_005248574_1 and WP_025433323_1 and WP_226955707_1 ),GLCabc,atp_c + glc__D_e + h2o_c --> adp_c + glc__D_c + h_c + pi_c
Lactose transport via ABC system (import),WP_005250846_1,LCTSabc,atp_c + h2o_c + lcts_e --> adp_c + h_c + lcts_c + pi_c
Dihydroxyacetone kinase,WP_005250844_1 or WP_025433088_1,DHAK,atp_c + dha_c --> adp_c + dhap_c + h_c
Glutamate synthase (NADPH),WP_005250836_1 or WP_005252414_1 or ( WP_005249055_1 and WP_025431556_1 ),GLUSy,akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c
Aldehyde dehydrogenase  4 hydroxyphenylacetaldehyde  NAD ,WP_005250821_1,4HALDD,4hoxpacd_c + h2o_c + nad_c <=> 4hphac_c + 2.0 h_c + nadh_c
Glycine betaine transport via proton antiport (periplasm),WP_005250819_1,GLYBt3pp,glyb_c + h_p --> glyb_p + h_c
Choline transport via proton antiport (periplasm),WP_005250819_1,CHLt3pp,chol_c + h_p --> chol_p + h_c
Phenylacetyl-CoA oxygenase/reductase,WP_005250773_1 and WP_005250775_1 and WP_005250777_1 and WP_005250779_1 and WP_025433340_1,PHACOAOR,h2_c + o2_c + phaccoa_c --> 2dhphaccoa_c
"Ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)",WP_005250771_1,REPHACCOAI,rephaccoa_c <=> 2oxpaccoa_c
3-oxoadipyl-CoA thiolase,WP_005250766_1 or WP_005251119_1 or WP_025431983_1,3OXCOAT,coa_c + oxadpcoa_c --> accoa_c + succoa_c
"3-oxo-5,6-dehydrosuberyl-CoA thiolase",WP_005250766_1 and WP_005250771_1,OXDHCOAT,3oxdhscoa_c + coa_c --> 23dhacoa_c + accoa_c
"1,2-Dihydroxy-1,2-dihydrophenylacetyl-CoA Hydratase/Isomerase/Ketothiolase complex",WP_005250764_1 and WP_005250766_1 and WP_005250771_1,DHPACCOAHIT,2dhphaccoa_c + coa_c + 2.0 h2o_c --> 3hadpcoa_c + accoa_c + h2_c + h_c
"Oxepin-CoA hydrolase/ 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase (NADP+)",WP_005250764_1,OXCOAHDH,2oxpaccoa_c + 2.0 h2o_c + nadp_c --> 3oxdhscoa_c + 2.0 h_c + nadph_c
Phenylacetyl-CoA thioesterase,WP_005250762_1,PACOAT,h2o_c + phaccoa_c --> coa_c + h_c + pac_c
"D-glucuronate transport via proton symport, reversible (periplasm)",WP_005250744_1 or WP_025431577_1,GLCURt2rpp,glcur_p + h_p --> glcur_c + h_c
Fatty-acid-CoA thioesterase (hexadecenoate),WP_005250641_1 or WP_005251384_1,FACOAE161,h2o_c + hdcoa_c --> coa_c + h_c + hdcea_c
R hydroxy acyl CoA thioesterase  C140 ,WP_005250641_1,RHACOAE140,R_3hmrscoa_c + h2o_c --> R_3httdca_c + coa_c + h_c
R hydroxy acyl CoA thioesterase  C141 ,WP_005250641_1,RHACOAE141,R_3hcmrs7ecoa_c + h2o_c --> R_3hcmrs7e_c + coa_c + h_c
R hydroxy acyl CoA thioesterase  C121 ,WP_005250641_1,RHACOAE121,R_3hcddec5ecoa_c + h2o_c --> R_3hdd5ea_c + coa_c + h_c
R hydroxy acyl CoA thioesterase  C141 ,WP_005250641_1,RHACOAE141d5,R_3htd5coa_c + h2o_c --> R_3htd5e_c + coa_c + h_c
R hydroxy acyl CoA thioesterase  C120 ,WP_005250641_1,RHACOAE120,R_3hddcoa_c + h2o_c --> R_3hdda_c + coa_c + h_c
R hydroxy acyl CoA thioesterase  C100 ,WP_005250641_1,RHACOAE100,R_3hdcoa_c + h2o_c --> R_3hdcaa_c + coa_c + h_c
R hydroxy acyl CoA thioesterase  C121d6 ,WP_005250641_1,RHACOAE121d6,R_3hdd6coa_c + h2o_c --> R_3hdd6e_c + coa_c + h_c
R hydroxy acyl CoA thioesterase  C40 ,WP_005250641_1,HBRCH,3hbcoa__R_c + h2o_c --> bhb_c + coa_c + h_c
Fatty-acid-CoA thioesterase (octadecenoate),WP_005250641_1,FACOAE181,h2o_c + odecoa_c --> coa_c + h_c + ocdcea_c
R hydroxy acyl CoA thioesterase  C160 ,WP_005250641_1,RHACOAE160,R_3hhdcoa_c + h2o_c --> R_3hhdca_c + coa_c + h_c
Fatty-acid-CoA thioesterase (decanoate),WP_005250641_1,FACOAE100,dcacoa_c + h2o_c --> coa_c + dca_c + h_c
Fatty-acid-CoA thioesterase (dodecanoate),WP_005250641_1,FACOAE120,ddcacoa_c + h2o_c --> coa_c + ddca_c + h_c
Fatty-acid-CoA thioesterase (tetradecenoate),WP_005250641_1,FACOAE141,h2o_c + tdecoa_c --> coa_c + h_c + ttdcea_c
Fatty acid CoA thioesterase  nonanoate ,WP_005250641_1,FACOAE90,h2o_c + nonacoa_c --> coa_c + h_c + nona_c
Fatty-acid-CoA thioesterase (octanoate),WP_005250641_1,FACOAE80,h2o_c + occoa_c --> coa_c + h_c + octa_c
Fatty acid CoA thioesterase  heptanoate ,WP_005250641_1,FACOAE70,h2o_c + hptcoa_c --> coa_c + h_c + hpta_c
Fatty-acid-CoA thioesterase (hexanoate),WP_005250641_1,FACOAE60,h2o_c + hxcoa_c --> coa_c + h_c + hxa_c
Fatty acid CoA thioesterase  pentanoate ,WP_005250641_1,FACOAE50,h2o_c + ptcoa_c --> coa_c + h_c + pta_c
R hydroxy acyl CoA thioesterase  C142 ,WP_005250641_1,RHACOAE142,R_3htd58coa_c + h2o_c --> R_3htd58e_c + coa_c + h_c
"Linoleoyl-CoA hydrolase (18:2(9Z,12Z))",WP_005250641_1,FACOAE1829Z12Z,h2o_c + lnlccoa_c --> coa_c + h_c + lnlc_c
R hydroxy acyl CoA thioesterase  C50 ,WP_005250641_1,RHACOAE50,R_3hptcoa_c + h2o_c --> R_3hpt_c + coa_c + h_c
R hydroxy acyl CoA thioesterase  C90 ,WP_005250641_1,RHACOAE90,R_3hnonacoa_c + h2o_c --> R_3hnonaa_c + coa_c + h_c
R hydroxy phenyl acyl CoA thioesterase  C101 ,WP_005250641_1,RHACOAEP101,R3hdec4coa_c + h2o_c --> R3hdec4e_c + coa_c + h_c
R hydroxy phenyl acyl CoA thioesterase  Phenyl C40 ,WP_005250641_1,RHACOAEP40,R_3hpbcoa_c + h2o_c --> R_3hpba_c + coa_c + h_c
R hydroxy phenyl acyl CoA thioesterase  Phenyl C50 ,WP_005250641_1,RHACOAEP50,R_3hpptcoa_c + h2o_c --> R_3hppta_c + coa_c + h_c
R hydroxy phenyl acyl CoA thioesterase  Phenyl C60 ,WP_005250641_1,RHACOAEP60,R_3hphxacoa_c + h2o_c --> R_3hphxa_c + coa_c + h_c
R hydroxy phenyl acyl CoA thioesterase  Phenyl C70 ,WP_005250641_1,RHACOAEP70,R_3hphpcoa_c + h2o_c --> R_3hphpa_c + coa_c + h_c
R hydroxy phenyl acyl CoA thioesterase  Phenyl C80 ,WP_005250641_1,RHACOAEP80,R_3hpoctacoa_c + h2o_c --> R_3hpocta_c + coa_c + h_c
R hydroxy phenyl acyl CoA thioesterase  Phenyl C90 ,WP_005250641_1,RHACOAEP90,R_3hpnonacoa_c + h2o_c --> R_3hpnona_c + coa_c + h_c
R hydroxy acetylthio acyl CoA thioesterase  Acetylthio C40 ,WP_005250641_1,RHACOAET40,R_3h4atbcoa_c + h2o_c --> R_3h4atba_c + coa_c + h_c
R hydroxy acetylthio acyl CoA thioesterase  Acetylthio C60 ,WP_005250641_1,RHACOAET60,R_3h6athcoa_c + h2o_c --> R_3h6atha_c + coa_c + h_c
Palmitoyl Coenzyme A Hydrolase,WP_005250641_1,HMR_0260,h2o_c + vacccoa_c --> coa_c + h_c + vacc_c
R hydroxy acyl CoA thioesterase  C80 ,WP_005250641_1,RHACOAE80,R_3hocoa_c + h2o_c --> R_3hocta_c + coa_c + h_c
R hydroxy acyl CoA thioesterase  C70 ,WP_005250641_1,RHACOAE70,R_3hhpcoa_c + h2o_c --> R_3hhpa_c + coa_c + h_c
R hydroxy acyl CoA thioesterase  C60 ,WP_005250641_1,RHACOAE60,R_3hhcoa_c + h2o_c --> R_3hhxa_c + coa_c + h_c
R hydroxy phenyl acyl CoA thioesterase  Phenyl C100 ,WP_005250641_1,RHACOAEP100,R_3hpdecacoa_c + h2o_c --> R_3hpdeca_c + coa_c + h_c
Propionyl-CoA carboxylase,WP_005250634_1 or WP_025433936_1 or ( WP_005239992_1 and WP_025431568_1 and WP_226955725_1 ),PPCOAC,atp_c + hco3_c + ppcoa_c --> adp_c + h_c + mmcoa__S_c + pi_c
Acyl CoA dehydrogenase  2 methylbutnoyl CoA ,WP_005250612_1 or WP_005250947_1,ACOAD20,2.0 2mbcoa_c + o2_c --> 2.0 2mb2coa_c + 2.0 h2o_c
Acyl CoA dehydrogenase  isobutyryl CoA ,WP_005250612_1 or WP_005250947_1,ACOADH2,2.0 ibcoa_c + o2_c --> 2.0 2mp2coa_c + 2.0 h2o_c
2-dehydro-3-deoxy-D-arabinonate Aldolase,WP_005250602_1,2DDARAA,2ddara_c <=> gcald_c + pyr_c
D-alanine transport via proton symport,WP_005250600_1 or WP_025432629_1,DALAt2r,ala__D_e + h_e --> ala__D_c + h_c
L alanine reversible transport via proton symport,WP_005250600_1,ALAt2r,ala__L_e + h_e --> ala__L_c + h_c
