,reaction_id,reaction_name,reaction_reaction,old_flux,new_flux
1404,METSR_R1,L methionine R oxide reductase  trdrd ,metox__R_c + trdrd_c --> h2o_c + met__L_c + trdox_c,0.0,0.0
1403,METSRabc,L methionine R oxide transport via ABC system,atp_c + h2o_c + metox__R_e --> adp_c + h_c + metox__R_c + pi_c,0.0,0.0
1402,METSOXR2,L-methionine-R-sulfoxide reductase,metsox_R__L_c + trdrd_c --> h2o_c + met__L_c + trdox_c,0.0,0.0
1401,METSOXR1,L-methionine-S-oxide reductase,metsox_S__L_c + trdrd_c --> h2o_c + met__L_c + trdox_c,0.0,0.0
1400,METSabc,L methionine S oxide transport via ABC system,atp_c + h2o_c + metox_e --> adp_c + h_c + metox_c + pi_c,0.0,0.0
1398,METOX2s,Methionine oxidation 2 (spontaneous),h2o2_c + met__L_c --> h2o_c + metsox_R__L_c,0.0,no rxn
1397,METOX1s,Methionine oxidation (spontaneous),h2o2_c + met__L_c --> h2o_c + metsox_S__L_c,0.0,no rxn
1396,METGL,METGL,h2o_c + met__L_c --> 2obut_c + ch4s_c + nh4_c,0.0,no rxn
1394,METabc,L-methionine transport via ABC system,atp_c + h2o_c + met__L_e --> adp_c + h_c + met__L_c + pi_c,0.0,0.0
1392,MELIBt3ipp,Melibiose transport in via antiport (periplasm),h_p + melib_c --> h_c + melib_p,0.0,0.0
1390,MEHLER,Mehler reaction,h_c + nadph_c + 0.5 o2_c --> h2o_c + nadp_c,0.0,0.0
1371,MCTP1Bpp,Murein crosslinking transpeptidase 1B:(A2pm->A2pm) (periplasm),murein5p5p_p --> alaala_p + murein5px3p_p,0.0,0.0
1388,MECDPDH4,"2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase",2mecdp_c + fdxr_42_c + h_c --> fdxo_42_c + h2mb4p_c + h2o_c,0.0,no rxn
1385,ME1,Malic enzyme (NAD),mal__L_c + nad_c --> co2_c + nadh_c + pyr_c,0.0,0.0
1384,MDRPD,5-Methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase,5mdru1p_c --> dkmpp_c + h2o_c,0.0,no rxn
1383,MDH3,Malate dehydrogenase (menaquinone 8 as acceptor),mal__L_c + mqn8_c --> mql8_c + oaa_c,0.0,0.00023368841786526132
1382,MDH2,Malate dehydrogenase (ubiquinone 8 as acceptor),mal__L_c + q8_c --> oaa_c + q8h2_c,0.0,103.57769675929424
1380,MDDEP4pp,"Murein D,D-endopeptidase (murein4px4px4p) (periplasm)",h2o_p + murein4px4px4p_p --> murein4px4p4p_p,0.0,0.0
1379,MDDEP3pp,"Murein D,D-endopeptidase (murein5px4p) (periplasm)",h2o_p + murein5px4p_p --> murein5p4p_p,0.0,0.0
1378,MDDEP1pp,"Murein D,D-endopeptidase (murein4px4p) (periplasm)",h2o_p + murein4px4p_p --> murein4p4p_p,0.0,0.0
1377,MDDCP5pp,"Murein D,D-carboxypeptidase (murein5p3p) (periplasm)",h2o_p + murein5p3p_p --> ala__D_p + murein4p3p_p,0.0,0.0
1376,MDDCP4pp,"Murein D,D-carboxypeptidase (murein5p4p) (periplasm)",h2o_p + murein5p4p_p --> ala__D_p + murein4p4p_p,0.0,0.0
1375,MDDCP3pp,"Murein D,D-carboxypeptidase (murein5p5p) (periplasm)",h2o_p + murein5p5p_p --> ala__D_p + murein5p4p_p,0.0,0.0
1374,MDDCP2pp,"Murein D,D-carboxypeptidase (murein5px4px4p) (periplasm)",h2o_p + murein5px4px4p_p --> ala__D_p + murein4px4px4p_p,0.0,0.0
1373,MDDCP1pp,"Murein D,D-carboxypeptidase (murein5px4p) (periplasm)",h2o_p + murein5px4p_p --> ala__D_p + murein4px4p_p,0.0,0.0
1372,MCTP2App,Murein crosslinking transpeptidase 1A:(A2pm->D-ala) (periplasm),murein5p5p5p_p --> 2.0 ala__D_p + murein5px4px4p_p,0.0,0.0
1335,MACCOAT,MACCOAT,2maacoa_c + coa_c --> accoa_c + ppcoa_c,0.0,0.0
1333,M1PD,Mannitol-1-phosphate 5-dehydrogenase,mnl1p_c + nad_c <=> f6p_c + h_c + nadh_c,0.0,0.0
1411,MI1PS,Myo Inositol 1 phosphate synthase,g6p_c --> mi1p__D_c,0.0,0.0
1284,LCYSTabc,Cysteate transport via ABC system,Lcyst_e + atp_c + h2o_c --> Lcyst_c + adp_c + h_c + pi_c,0.0,0.0
1278,LALGP,L-alanyl-gamma-L-glutamate peptidase,LalaLglu_c + h2o_c --> ala__L_c + glu__L_c,0.0,0.0
1279,LCADi,Lactaldehyde dehydrogenase,h2o_c + lald__L_c + nad_c --> 2.0 h_c + lac__L_c + nadh_c,0.0,0.0
1280,LCARR,"Lacaldehyde reductase (R-propane-1,2-diol forming)",h_c + lald__D_c + nadh_c <=> 12ppd__R_c + nad_c,0.0,0.0
1281,LCARS,"Lacaldehyde reductase (S-propane-1,2-diol forming)",h_c + lald__L_c + nadh_c <=> 12ppd__S_c + nad_c,0.0,0.0
1282,LCTSabc,LCTSabc,atp_c + h2o_c + lcts_e --> adp_c + h_c + lcts_c + pi_c,0.0,0.0
1283,LCTSt3ipp,Lactose transport via proton aniport (periplasm),h_p + lcts_c --> h_c + lcts_p,0.0,0.0
1285,LDGUNPD,Linear diguanylate phosphodiesterase,5pg35pg_c + h2o_c --> 2.0 gmp_c + h_c,0.0,0.0
1332,LYSt5r,LYSt5r,lys__L_e <=> lys__L_c,0.0,0.0
1286,LDH_D,D-lactate dehydrogenase,lac__D_c + nad_c <=> h_c + nadh_c + pyr_c,0.0,0.0
1287,LDH_L,L-lactate dehydrogenase,lac__L_c + nad_c <=> h_c + nadh_c + pyr_c,0.0,0.0
1288,LEUabc,L-leucine transport via ABC system,atp_c + h2o_c + leu__L_e --> adp_c + h_c + leu__L_c + pi_c,0.0,0.0
1289,LEUabcpp,L-leucine transport via ABC system (periplasm),atp_c + h2o_c + leu__L_p --> adp_c + h_c + leu__L_c + pi_c,0.0,0.0
1290,LEUt2r,L leucine reversible transport via proton symport,h_e + leu__L_e <=> h_c + leu__L_c,0.0,0.0
1291,LEUt4rpp,L-leucine transport in via sodium symport,leu__L_p + na1_p <=> leu__L_c + na1_c,0.0,0.0
1277,LALDO,D-Lactaldehyde NAD+ oxidoreductase (glutathione-formylating),gthrd_c + lald__D_c + nad_c <=> h_c + lgt__S_c + nadh_c,0.0,0.0
1276,LADGMDH,L-alanyl-gamma-D-glutamyl-meso-diaminopimelate hydrolase,LalaDgluMdap_c + h2o_c --> 26dap__M_c + LalaDglu_c,0.0,0.0
1275,LACZpp,B-galactosidase,h2o_p + lcts_p --> gal_p + glc__D_p,0.0,0.0
1274,LACZ,B-galactosidase,h2o_c + lcts_c --> gal_c + glc__D_c,0.0,0.0
1273,LacR,LacR,lac__L_c <=> lac__D_c,0.0,0.0
1272,LACD,Lactate dehydrogenase,dhlplarg_c + mql8_c + 2.0 pyr_c <=> 2.0 lac__D_c + lplarg_c + mqn8_c,0.0,no rxn
1271,LA4NTGM2pp,"4-amino-4-deoxy-L-arabinotransferase (LPS lipid A modification, periplasmic face of membrane))",hghhlipan_p + uLa4n_p --> gm2lipa_p + udcpp_p,0.0,no rxn
1270,Kt3r,Kt3r,h_e + k_c --> h_c + k_e,0.0,0.0
1269,Kt3pp,Potassium transport out via proton antiport (periplasm),h_p + k_c --> h_c + k_p,0.0,0.0
1268,Kt2r,Potassium reversible transport  via proton symport,h_e + k_e --> h_c + k_c,0.0,0.0
1267,Kt2pp,Potassium transport in via proton symport (periplasm),h_p + k_p --> h_c + k_c,0.0,0.0
1265,KDOPS,3-deoxy -D-manno-octulosonic -acid 8-phosphate synthase,ara5p_c + h2o_c + pep_c --> kdo8p_c + pi_c,0.0,no rxn
1264,KDOPP,3-deoxy-manno-octulosonate-8-phosphatase,h2o_c + kdo8p_c --> kdo_c + pi_c,0.0,no rxn
1263,KDOCT,KDOCT,ctp_c + kdo_c --> ckdo_c + ppi_c,0.0,no rxn
1262,KAT7,3-ketoacyl-CoA thiolase,3ohdcoa_c + coa_c --> accoa_c + tdcoa_c,0.0,no rxn
1261,KAT6,3-ketoacyl-CoA thiolase,3otdcoa_c + coa_c --> accoa_c + ddcacoa_c,0.0,no rxn
1260,KAT5,3-ketoacyl-CoA thiolase,3oddcoa_c + coa_c --> accoa_c + dcacoa_c,0.0,no rxn
1293,LEUTAi,Leucine transaminase (irreversible),4mop_c + glu__L_c --> akg_c + leu__L_c,0.0,0.0
1298,LIPOCT,Lipoyl(octanoyl) transferase,h_c + ocACP_c --> ACP_c + octapb_c,0.0,no rxn
1299,LIPOS,Lipoate synthase,4fe4s_c + 2.0 amet_c + h_c + nad_c + octapb_c --> 2fe2s_c + 2.0 dad_5_c + 2.0 fe2_c + lipopb_c + 2.0 met__L_c + nadh_c,0.0,no rxn
1317,LPLIPAL2E180,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:0)",2agpe180_c + h2o_c --> g3pe_c + h_c + ocdca_c,0.0,0.0
1331,LYSt3r,LYSt3r,h_e + lys__L_c --> h_c + lys__L_e,0.0,0.0
1330,LYSt3pp,L-lysine transport out via proton antiport (cytoplasm to periplasm),h_p + lys__L_c --> h_c + lys__L_p,0.0,0.0
1329,LYSMO,LYSMO,lys__L_c + o2_c --> 5apentam_c + co2_c + h2o_c + h_c,0.0,0.0
1328,LYSabcpp,L-lysine transport via ABC system (periplasm),atp_c + h2o_c + lys__L_p --> adp_c + h_c + lys__L_c + pi_c,0.0,0.0
1327,LYSabc,L-lysine transport via ABC system,atp_c + h2o_c + lys__L_e --> adp_c + h_c + lys__L_c + pi_c,0.0,0.0
1326,LSERDHr,L-serine dehydrogenase,nadp_c + ser__L_c <=> 2amsa_c + h_c + nadph_c,0.0,0.0
1325,LPLIPAL2G181,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:1)",2agpg181_c + h2o_c --> g3pg_c + h_c + ocdcea_c,0.0,0.0
1324,LPLIPAL2G180,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:0)",2agpg180_c + h2o_c --> g3pg_c + h_c + ocdca_c,0.0,0.0
1323,LPLIPAL2G161,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C16:1)",2agpg161_c + h2o_c --> g3pg_c + h_c + hdcea_c,0.0,0.0
1322,LPLIPAL2G160,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C16:0)",2agpg160_c + h2o_c --> g3pg_c + h_c + hdca_c,0.0,0.0
1321,LPLIPAL2G141,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C14:1)",2agpg141_c + h2o_c --> g3pg_c + h_c + ttdcea_c,0.0,0.0
1320,LPLIPAL2G140,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C14:0)",2agpg140_c + h2o_c --> g3pg_c + h_c + ttdca_c,0.0,no rxn
1319,LPLIPAL2G120,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C12:0)",2agpg120_c + h2o_c --> ddca_c + g3pg_c + h_c,0.0,0.0
1318,LPLIPAL2E181,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:1)",2agpe181_c + h2o_c --> g3pe_c + h_c + ocdcea_c,0.0,0.0
1316,LPLIPAL2E161,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:1)",2agpe161_c + h2o_c --> g3pe_c + h_c + hdcea_c,0.0,0.0
1300,L_LACD,L LACD,2.0 ficytc_c + lac__L_c --> 2.0 focytc_c + pyr_c,0.0,0.0
1315,LPLIPAL2E160,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:0)",2agpe160_c + h2o_c --> g3pe_c + h_c + hdca_c,0.0,0.0
1314,LPLIPAL2E141,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:1)",2agpe141_c + h2o_c --> g3pe_c + h_c + ttdcea_c,0.0,0.0
1313,LPLIPAL2E140,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:0)",2agpe140_c + h2o_c --> g3pe_c + h_c + ttdca_c,0.0,no rxn
1312,LPLIPAL2E120,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C12:0)",2agpe120_c + h2o_c --> ddca_c + g3pe_c + h_c,0.0,0.0
1311,LPLIPAL1E160pp,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:0) (periplasm)",1agpe160_p + h2o_p --> g3pe_p + h_p + hdca_p,0.0,no rxn
1310,LPLIPAL1A160pp,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:0) (periplasm)",1hdecg3p_p + h2o_p --> glyc3p_p + h_p + hdca_p,0.0,no rxn
1309,LPD5,Dihydrolipoamide dehydrogenase,dhlplarg_c + nad_c --> h_c + lplarg_c + nadh_c,0.0,no rxn
1308,LPADSSN,Lipid A disaccaride synthase (glucosediaminyl),lipidXn_c + u23gn_c --> h_c + lipidAdsn_c + udp_c,0.0,no rxn
1307,LMNe,Laminarinase (extracellular),14.0 h2o_e + lmn30_e --> 15.0 lmn2_e,0.0,no rxn
1306,LMN2abc,Laminoribiose transport via ABC-transporter,atp_c + h2o_c + lmn2_e --> adp_c + h_c + lmn2_c + pi_c,0.0,0.0
1305,LMN2,Laminaribiase,h2o_c + lmn2_c --> 2.0 glc__D_c,0.0,0.0
1303,L_LACt2rpp,L-lactate reversible transport via proton symport (periplasm),h_p + lac__L_p <=> h_c + lac__L_c,0.0,no rxn
1302,L_LACD3,L-Lactate dehydrogenase (menaquinone),lac__L_c + mqn8_c --> mql8_c + pyr_c,0.0,0.0
1301,L_LACD2,L-Lactate dehydrogenase (ubiquinone),lac__L_c + q8_c --> pyr_c + q8h2_c,0.0,0.0
1410,MI1PP,Myo-inositol 1-phosphatase,h2o_c + mi1p__D_c --> inost_c + pi_c,0.0,0.0
1412,MICITDr,2-methylisocitrate dehydratase,2mcacn_c + h2o_c <=> micit_c,0.0,0.0
1567,NTPP9,Nucleoside triphosphate pyrophosphorylase (itp),h2o_c + itp_c --> h_c + imp_c + ppi_c,0.0,0.0
1522,NMNHYD,Nicotinamide ribonucleotide phosphohydrolase,h2o_c + nmn_c --> pi_c + rnam_c,0.0,0.0
1742,PLIPA1E120pp,"Phospholipase A1 (phosphatidylethanolamine, n-C12:0) (periplasm)",h2o_p + pe120_p --> 2agpe120_p + ddca_p + h_p,0.0,0.0
1517,NI2t3pp,Nickle (Ni+2) transport out via proton antiport (periplasm),h_p + ni2_c --> h_c + ni2_p,0.0,0.0
1518,NI2tex,Nickel transport via diffusion (extracellular to periplasm),ni2_e <=> ni2_p,0.0,0.0
1519,NI2uabcpp,"Nickel transport via ABC system (uptake, periplasm)",atp_c + h2o_c + ni2_p --> adp_c + h_c + ni2_c + pi_c,0.0,0.0
1520,NIabc,Nickel transport via ABC system,atp_c + h2o_c + ni2_e --> adp_c + h_c + ni2_c + pi_c,0.0,0.0
1521,NIT1b_1,Nitrogenase,16.0 atp_c + 4.0 fdxr_42_c + 16.0 h2o_c + n2_c --> 16.0 adp_c + 4.0 fdxo_42_c + h2_c + 6.0 h_c + 2.0 nh4_c + 16.0 pi_c,0.0,no rxn
1523,NMNN,NMN nucleosidase,h2o_c + nmn_c --> h_c + ncam_c + r5p_c,0.0,no rxn
1491,NADTRHD,NAD transhydrogenase,nad_c + nadph_c --> nadh_c + nadp_c,0.0,0.0
1524,NNAM,Nicotinamidase,h2o_c + ncam_c --> nac_c + nh4_c,0.0,0.0
1527,NO2t2rpp,"Nitrite transport in via proton symport, reversible (periplasm)",h_p + no2_p <=> h_c + no2_c,0.0,no rxn
1528,NO3abcpp,Nitrate transport via ABC system (periplasm),atp_c + h2o_c + no3_p --> adp_c + h_c + no3_c + pi_c,0.0,0.0
1529,NO3R3pp,Nitrate reductase (Cytochrome c) periplasmic,2.0 focytC_c + 4.0 h_c + no3_c --> 2.0 ficytC_c + h2o_c + 2.0 h_p + no2_c,0.0,no rxn
1530,NO3t2,NO3t2,h_e + no3_e --> h_c + no3_c,0.0,no rxn
1531,NO3t2pp,Nitrate transport in via proton symport (periplasm),h_p + no3_p --> h_c + no3_c,0.0,no rxn
1516,NHFRBO,NADH:flavorubredoxin oxidoreductase,h_c + nadh_c + 2.0 no_c --> h2o_c + n2o_c + nad_c,0.0,0.0
1513,NH4t,Ammonia reversible transport,nh4_e <=> nh4_c,0.0,21.22379351388902
1512,NH4OHDs,NH4OH dissociation,h_c + nh4oh_c <=> h2o_c + nh4_c,0.0,0.0
1511,NH3c,Ammomnium proton dissociation,h_c + nh3_c <=> nh4_c,0.0,0.0
1510,NDPK9,Nucleoside diphosphate kinase  ATPIDP ,atp_c + idp_c --> adp_c + itp_c,0.0,no rxn
1509,NDPK8,Nucleoside-diphosphate kinase (ATP:dADP),atp_c + dadp_c <=> adp_c + datp_c,0.0,0.0
1508,NDPK7,Nucleoside-diphosphate kinase (ATP:dCDP),atp_c + dcdp_c <=> adp_c + dctp_c,0.0,0.0
1507,NDPK6,Nucleoside-diphosphate kinase (ATP:dUDP),atp_c + dudp_c <=> adp_c + dutp_c,0.0,0.06119986473228075
1502,NDPK1,Nucleoside-diphosphate kinase (ATP:GDP),atp_c + gdp_c <=> adp_c + gtp_c,0.0,95.90301779148669
1500,NAt3pp,Sodium transport out via proton antiport (cytoplasm to periplasm),h_p + na1_c --> h_c + na1_p,0.0,0.0
1499,NAt3_2pp,Sodium proton antiporter (H:NA is 2) (periplasm),2.0 h_p + na1_c --> 2.0 h_c + na1_p,0.0,0.0
1498,NAt3_2,Sodium proton antiporter (H:NA is 2),2.0 h_e + na1_c --> 2.0 h_c + na1_e,0.0,0.0
1497,NAt3_1,Sodium proton antiporter  HNA is 11 ,h_e + na1_c --> h_c + na1_e,0.0,0.0
1496,NAR_syn,Ferredoxin-nitrate reductase,2.0 fdxrd_c + 2.0 h_c + no3_c --> 2.0 fdxo_2_2_c + h2o_c + no2_c,0.0,no rxn
1495,NARK,NARK,no2_c --> no2_e,0.0,0.0
1494,NAPRT,NAPRTase,h_c + nac_c + prpp_c --> nicrnt_c + ppi_c,0.0,0.0
1493,NAMNPP,Nicotinic acid mononucleotide pyrophosphorylase,atp_c + h2o_c + nac_c + prpp_c --> adp_c + nicrnt_c + pi_c + ppi_c,0.0,no rxn
1532,NO3tex,Nitrate transport via diffusion (extracellular to periplasm),no3_e <=> no3_p,0.0,0.0
1533,NODOx,Nitric oxide dioxygenase,nadh_c + 2.0 no_c + 2.0 o2_c --> h_c + nad_c + 2.0 no3_c,0.0,0.0
1534,NODOy,Nitric oxide dioxygenase,nadph_c + 2.0 no_c + 2.0 o2_c --> h_c + nadp_c + 2.0 no3_c,0.0,0.0
1552,NTD9pp,5'-nucleotidase (GMP),gmp_p + h2o_p --> gsn_p + pi_p,0.0,no rxn
1566,NTPP8,Nucleoside triphosphate pyrophosphorylase (utp),h2o_c + utp_c --> h_c + ppi_c + ump_c,0.0,0.0
1565,NTPP7,Nucleoside triphosphate pyrophosphorylase (dttp),dttp_c + h2o_c --> dtmp_c + h_c + ppi_c,0.0,0.0
1564,NTPP6,Nucleoside triphosphate pyrophosphorylase (atp),atp_c + h2o_c --> amp_c + h_c + ppi_c,0.0,0.0
1563,NTPP5,Nucleoside triphosphate pyrophosphorylase (datp),datp_c + h2o_c --> damp_c + h_c + ppi_c,0.0,0.0
1562,NTPP4,Nucleoside triphosphate pyrophosphorylase (ctp),ctp_c + h2o_c --> cmp_c + h_c + ppi_c,0.0,0.0
1561,NTPP3,Nucleoside triphosphate pyrophosphorylase (dctp),dctp_c + h2o_c --> dcmp_c + h_c + ppi_c,0.0,0.0
1560,NTPP2,Nucleoside triphosphate pyrophosphorylase (gtp),gtp_c + h2o_c --> gmp_c + h_c + ppi_c,0.0,0.0
1559,NTPP11,Nucleoside triphosphate pyrophosphorylase (xtp),h2o_c + xtp_c --> h_c + ppi_c + xmp_c,0.0,0.0
1558,NTPP10,Nucleoside triphosphate pyrophosphorylase (ditp),ditp_c + h2o_c --> dimp_c + h_c + ppi_c,0.0,0.0
1557,NTPP1,Nucleoside triphosphate pyrophosphorylase (dgtp),dgtp_c + h2o_c --> dgmp_c + h_c + ppi_c,0.0,0.0
1556,NTP5,Nucleoside-triphosphatase (CTP),ctp_c + h2o_c --> cdp_c + h_c + pi_c,0.0,0.0
1555,NTP3,Nucleoside-triphosphatase (GTP),gtp_c + h2o_c --> gdp_c + h_c + pi_c,0.0,0.0
1554,NTP10,Nucleoside-triphosphatase (ITP),h2o_c + itp_c --> h_c + idp_c + pi_c,0.0,0.0
1553,NTP1,Nucleoside-triphosphatase (ATP),atp_c + h2o_c --> adp_c + h_c + pi_c,0.0,0.0
1551,NTD8pp,5'-nucleotidase (dGMP),dgmp_p + h2o_p --> dgsn_p + pi_p,0.0,no rxn
1535,NORRDX,Nitric oxide reductase (rubredoxin),2.0 h_c + 2.0 no_c + 2.0 rdxr_c --> h2o_c + n2o_c + 2.0 rdxo_c,0.0,no rxn
1550,NTD7pp,5'-nucleotidase (AMP),amp_p + h2o_p --> adn_p + pi_p,0.0,no rxn
1549,NTD6pp,5'-nucleotidase (dAMP),damp_p + h2o_p --> dad_2_p + pi_p,0.0,no rxn
1548,NTD5pp,5'-nucleotidase (dTMP),dtmp_p + h2o_p --> pi_p + thymd_p,0.0,no rxn
1547,NTD5,5'-nucleotidase (dTMP),dtmp_c + h2o_c --> pi_c + thymd_c,0.0,0.0
1546,NTD4pp,5'-nucleotidase (CMP),cmp_p + h2o_p --> cytd_p + pi_p,0.0,no rxn
1545,NTD3pp,5'-nucleotidase (dCMP),dcmp_p + h2o_p --> dcyt_p + pi_p,0.0,no rxn
1544,NTD2pp,5'-nucleotidase (UMP),h2o_p + ump_p --> pi_p + uri_p,0.0,no rxn
1543,NTD2,5'-nucleotidase (UMP),h2o_c + ump_c --> pi_c + uri_c,0.0,0.0
1542,NTD12,5'-nucleotidase (dIMP),dimp_c + h2o_c --> din_c + pi_c,0.0,0.0
1541,NTD11pp,5'-nucleotidase (IMP),h2o_p + imp_p --> ins_p + pi_p,0.0,no rxn
1540,NTD10pp,5'-nucleotidase (XMP),h2o_p + xmp_p --> pi_p + xtsn_p,0.0,no rxn
1539,NTD1,5'-nucleotidase (dUMP),dump_c + h2o_c --> duri_c + pi_c,0.0,0.0
1537,NOX,NADH oxidase,h_c + nadh_c + o2_c --> h2o2_c + nad_c,0.0,0.0
1536,NOt,NOt,no_e <=> no_c,0.0,0.0
1492,NAKtr,NAKtr,k_c + na1_e --> k_e + na1_c,0.0,0.0
1489,NADPHQR4,NADPH Quinone Reductase (2-Demethylmenaquinone-8),2dmmq8_c + h_c + nadph_c --> 2dmmql8_c + nadp_c,0.0,no rxn
1413,MLDCP1Bpp,"Murein L,D-carboxypeptidase (murein4p4p) (periplasm)",h2o_p + murein4p4p_p --> ala__D_p + murein4p3p_p,0.0,0.0
1439,MOTH,MOTH,h2o_c + motre_c --> maltpt_c + tre_c,0.0,no rxn
1432,MNt2pp,Manganese (Mn+2) transport in via proton symport (periplasm),h_p + mn2_p --> h_c + mn2_c,0.0,0.0
1433,MOADSUx,"MoaD sulfuration (nadh, assumed)",iscssh_c + moadamp_c + nadh_c --> amp_c + iscs_c + moadcosh_c + nad_c,0.0,no rxn
1434,MOAT2N,3-deoxy-D-manno-octulosonic acid transferase (glucosediaminyl),ckdo_c + kdolipid4n_c --> cmp_c + h_c + kdo2lipid4n_c,0.0,no rxn
1435,MOATN,3-deoxy-D-manno-octulosonic acid transferase (glucosediaminyl),ckdo_c + lipidAn_c --> cmp_c + h_c + kdolipid4n_c,0.0,no rxn
1436,MOBDabc,Molybdate transport via ABC system,atp_c + h2o_c + mobd_e --> adp_c + h_c + mobd_c + pi_c,0.0,0.0
1437,MOCOS,Molybdenum cofactor synthase,2.0 h_c + mobd_c + mptamp_c --> amp_c + cu2_c + h2o_c + moco_c,0.0,no rxn
1440,MOTH1,Maltooligosyltrehalose trehalohydrolase (maltosyltrehalose),h2o_c + malttre_c --> malt_c + tre_c,0.0,0.0
1488,NADPHQR3,NADPH Quinone Reductase (Menaquinone-8),h_c + mqn8_c + nadph_c --> mql8_c + nadp_c,0.0,0.0
1441,MOTS,MOTS,malthp_c --> motre_c,0.0,no rxn
1442,MOTS1,Maltooligosyltrehalose synthase (maltotetraose),maltttr_c --> malttre_c,0.0,0.0
1443,MPL,Maltose phosphorylase,malt_c + pi_c --> g1p_B_c + glc__D_c,0.0,no rxn
1444,MPTAT,Molybdopterin adenylyltransferase,atp_c + h_c + mpt_c --> mptamp_c + ppi_c,0.0,no rxn
1445,MPTG,Murein polymerizing transglycosylase,2.0 uaagmda_c --> 2.0 h_c + murein5p5p_p + 2.0 udcpdp_c,0.0,0.0
1446,MPTG2,Murein polymerizing transglycosylase 2 (three linked units),murein5p5p_p + uaagmda_c --> h_c + murein5p5p5p_p + udcpdp_c,0.0,0.0
1430,MNNH,D-mannonate hydrolyase,mana_c --> 2ddglcn_c + h2o_c,0.0,0.0
1429,MNLpts,Mannitol transport via PEP:Pyr PTS,mnl_e + pep_c --> mnl1p_c + pyr_c,0.0,0.0
1428,MNabc_1,Manganese Mn2 transport via ABC system periplasm ,atp_c + h2o_c + mn2_p --> adp_c + h_c + mn2_c + pi_c,0.0,0.0
1427,MNabc,Manganese transport via ABC system,atp_c + h2o_c + mn2_e --> adp_c + h_c + mn2_c + pi_c,0.0,0.0016165456534803129
1426,MN2t3pp,Manganese (Mn+2) transport out via proton antiport (periplasm),h_p + mn2_c --> h_c + mn2_p,0.0,0.0
1425,MMTSAO,MMTSAO,coa_c + mmtsa_c + nad_c --> co2_c + nadh_c + ppcoa_c,0.0,0.0
1424,MMSAD3,MMSAD3,coa_c + msa_c + nad_c --> accoa_c + co2_c + nadh_c,0.0,0.0
1423,MMSAD2,Methylmalonate-semialdehyde dehydrogenase (propanol),coa_c + nad_c + ppal_c <=> h_c + nadh_c + ppcoa_c,0.0,0.0
1422,MMM2,Methylmalonyl-CoA mutase,succoa_c --> mmcoa__R_c,0.0,0.0
1421,MME,Methylmalonyl-CoA epimerase,mmcoa__R_c <=> mmcoa__S_c,0.0,0.0
1420,MLTP1,Maltodextrin phosphorylase (maltopentaose),maltpt_c + pi_c <=> g1p_c + maltttr_c,0.0,0.0
1419,MLTGY4pp,Murein lytic transglycosylase (murein4px4p4p) (periplasm),murein4px4p4p_p --> anhgm4p_p + murein4px4p_p,0.0,0.0
1418,MLTGY3pp,Murein lytic transglycosylase (murein3p3p) (periplasm),murein3p3p_p --> 2.0 anhgm3p_p,0.0,0.0
1417,MLTGY2pp,Murein lytic transglycosylase (murein4p3p) (periplasm),murein4p3p_p --> anhgm3p_p + anhgm4p_p,0.0,0.0
1416,MLTGY1pp,Murein lytic transglycosylase (murein4p4p) (periplasm),murein4p4p_p --> 2.0 anhgm4p_p,0.0,0.0
1415,MLDEP2pp,"Murein L,D-endopeptidase (murein5px3p) (periplasm)",h2o_p + murein5px3p_p --> murein5p3p_p,0.0,0.0
1414,MLDCP2Bpp,"Murein L,D-carboxypeptidase (murein4p3p) (periplasm)",h2o_p + murein4p3p_p --> ala__D_p + murein3p3p_p,0.0,0.0
1447,MPTS,Molybdopterin synthase,cpmp_c + cu2_c + 2.0 moadcosh_c --> 5.0 h_c + 2.0 moadcoo_c + mpt_c,0.0,no rxn
1448,MPTSS,Molybdopterin synthase sulfurylase,atp_c + h_c + moadcoo_c --> moadamp_c + ppi_c,0.0,no rxn
1449,MSHAMID,MSHAMID,bmnmsh_c + h2o_c --> acysbmn_c + igam_c,0.0,0.0
1471,MYCTR2,MYCTR2,gthox_c + 2.0 msh_c <=> 2.0 gthrd_c + mssg_c,0.0,0.06119986473228075
