name,genes,reaction_id,reaction
Shikimate transport in via proton symport (periplasm),WP_005249202_1 or WP_025433246_1,SKMt2pp,h_p + skm_p --> h_c + skm_c
Pyridoxal-5-phosphate synthase,WP_005249195_1 or ( WP_005240983_1 and WP_005249195_1 ),PLPS,g3p_c + gln__L_c + r5p_c --> glu__L_c + 3.0 h2o_c + h_c + pi_c + pydx5p_c
Ferredoxin-nitrate reductase,WP_005249133_1,NAR_syn,2.0 fdxrd_c + 2.0 h_c + no3_c --> 2.0 fdxo_2_2_c + h2o_c + no2_c
Deoxyadenylate kinase,WP_005249132_1,DADK,atp_c + damp_c <=> adp_c + dadp_c
Murein polymerizing transglycosylase,WP_005249129_1 or WP_005249664_1 or WP_037182782_1,MPTG,2.0 uaagmda_c --> 2.0 h_c + murein5p5p_p + 2.0 udcpdp_c
Murein polymerizing transglycosylase 2 (three linked units),WP_005249129_1,MPTG2,murein5p5p_p + uaagmda_c --> h_c + murein5p5p5p_p + udcpdp_c
4-amino-4-deoxychorismate synthase,WP_005249080_1 or WP_025432227_1 or WP_025433076_1,ADCS,chor_c + gln__L_c --> 4adcho_c + glu__L_c
Ribonucleoside-triphosphate reductase (GTP) (flavodoxin),WP_005249007_1,RNTR2c,fldrd_c + gtp_c --> dgtp_c + fldox_c + h2o_c
Ribonucleoside-triphosphate reductase (UTP) (flavodoxin),WP_005249007_1,RNTR4c,fldrd_c + utp_c --> dutp_c + fldox_c + h2o_c
Ribonucleoside-triphosphate reductase (UTP) (flavodoxin),WP_005249007_1,RNTR4c2,2.0 flxr_c + 2.0 h_c + utp_c --> dutp_c + 2.0 flxso_c + h2o_c
Ribonucleoside-triphosphate reductase (CTP) (flavodoxin),WP_005249007_1,RNTR3c2,ctp_c + 2.0 flxr_c + 2.0 h_c --> dctp_c + 2.0 flxso_c + h2o_c
Ribonucleoside-triphosphate reductase (GTP) (flavodoxin),WP_005249007_1,RNTR2c2,2.0 flxr_c + gtp_c + 2.0 h_c --> dgtp_c + 2.0 flxso_c + h2o_c
Ribonucleoside-triphosphate reductase (CTP) (flavodoxin),WP_005249007_1,RNTR3c,ctp_c + fldrd_c --> dctp_c + fldox_c + h2o_c
Ribonucleoside-triphosphate reductase (ATP) (flavodoxin),WP_005249007_1,RNTR1c2,atp_c + 2.0 flxr_c + 2.0 h_c --> datp_c + 2.0 flxso_c + h2o_c
Ribonucleoside-triphosphate reductase (ATP) (flavodoxin),WP_005249007_1,RNTR1c,atp_c + fldrd_c --> datp_c + fldox_c + h2o_c
Acyl-[acyl-carrier-protein] synthetase  (n-C12:0),WP_005248999_1,AACPS7,ACP_c + atp_c + ddca_c --> amp_c + ddcaACP_c + ppi_c
2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0),WP_005248999_1,2AGPEAT120,2agpe120_c + atp_c + ddca_c --> amp_c + pe120_c + ppi_c
2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1),WP_005248999_1,2AGPEAT181,2agpe181_c + atp_c + ocdcea_c --> amp_c + pe181_c + ppi_c
2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0),WP_005248999_1,2AGPEAT180,2agpe180_c + atp_c + ocdca_c --> amp_c + pe180_c + ppi_c
2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0),WP_005248999_1,2AGPEAT160,2agpe160_c + atp_c + hdca_c --> amp_c + pe160_c + ppi_c
2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0),WP_005248999_1,2AGPEAT140,2agpe140_c + atp_c + ttdca_c --> amp_c + pe140_c + ppi_c
Acyl-[acyl-carrier-protein] synthetase  (n-C14:1),WP_005248999_1,AACPS2,ACP_c + atp_c + ttdcea_c --> amp_c + ppi_c + tdeACP_c
2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1),WP_005248999_1,2AGPEAT141,2agpe141_c + atp_c + ttdcea_c --> amp_c + pe141_c + ppi_c
Acyl-[acyl-carrier-protein] synthetase  (n-C16:0),WP_005248999_1,AACPS3,ACP_c + atp_c + hdca_c --> amp_c + palmACP_c + ppi_c
Acyl-[acyl-carrier-protein] synthetase  (n-C18:0),WP_005248999_1,AACPS6,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c
Acyl-[acyl-carrier-protein] synthetase  (n-C16:1),WP_005248999_1,AACPS4,ACP_c + atp_c + hdcea_c --> amp_c + hdeACP_c + ppi_c
Acyl-[acyl-carrier-protein] synthetase  (n-C18:1),WP_005248999_1,AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c
Acyl-[acyl-carrier-protein] synthetase  (n-C8:0),WP_005248999_1,AACPS9,ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c
Acyl-[acyl-carrier-protein] synthetase  (n-C10:0),WP_005248999_1,AACPS8,ACP_c + atp_c + dca_c --> amp_c + dcaACP_c + ppi_c
2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1),WP_005248999_1,2AGPEAT161,2agpe161_c + atp_c + hdcea_c --> amp_c + pe161_c + ppi_c
Acyl-[acyl-carrier-protein] synthetase (n-C14:0),WP_005248999_1,AACPS1,ACP_c + atp_c + ttdca_c --> amp_c + myrsACP_c + ppi_c
2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1),WP_005248999_1,2AGPGAT141,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c
2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1),WP_005248999_1,2AGPGAT181,2agpg181_c + atp_c + ocdcea_c --> amp_c + pg181_c + ppi_c
2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0),WP_005248999_1,2AGPGAT140,2agpg140_c + atp_c + ttdca_c --> amp_c + pg140_c + ppi_c
2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0),WP_005248999_1,2AGPGAT160,2agpg160_c + atp_c + hdca_c --> amp_c + pg160_c + ppi_c
2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0),WP_005248999_1,2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c
2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1),WP_005248999_1,2AGPGAT161,2agpg161_c + atp_c + hdcea_c --> amp_c + pg161_c + ppi_c
2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0),WP_005248999_1,2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c
"D-gluconate transport via proton symport, reversible (periplasm)",WP_005248982_1 or WP_005251223_1 or WP_005251408_1,GLCNt2rpp,glcn_p + h_p <=> glcn_c + h_c
"D-gluconate transport via proton symport, reversible",WP_005248982_1,GLCNt2r,glcn_e + h_e <=> glcn_c + h_c
Isocitrate dehydrogenase (NAD),WP_005248976_1,ICDHx,icit_c + nad_c <=> akg_c + co2_c + nadh_c
Spermidine transport via ABC system,WP_005248970_1 or WP_025433613_1 or ( WP_005240574_1 and WP_025431625_1 and WP_025433613_1 ),SPMDabc,atp_c + h2o_c + spmd_e --> adp_c + h_c + pi_c + spmd_c
Putrescine transport via ABC system,WP_005248970_1 or WP_005250166_1 or WP_025433613_1 or ( WP_005240574_1 and WP_025431625_1 and WP_025433613_1 ),PTRCabc,atp_c + h2o_c + ptrc_e --> adp_c + h_c + pi_c + ptrc_c
Copper export via ATPase,WP_005248910_1 or WP_005249238_1 or WP_005249240_1,Cut1,atp_c + cu2_c + h2o_c --> adp_c + cu2_e + h_c + pi_c
"Murein L,D-endopeptidase (murein5px3p) (periplasm)",WP_005248879_1 or WP_025431736_1 or WP_025432093_1 or WP_025432381_1 or WP_025432959_1,MLDEP2pp,h2o_p + murein5px3p_p --> murein5p3p_p
Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine),WP_005248875_1,GPDDA2,g3pe_c + h2o_c --> etha_c + glyc3p_c + h_c
PPCOAC,WP_005248832_1 or WP_005250634_1 or ( WP_005239544_1 and WP_025433112_1 ) or ( WP_005239546_1 and WP_005247842_1 ) or ( WP_005245735_1 and WP_025433113_1 ) or ( WP_025433112_1 and WP_025433113_1 ),PPCOAC,atp_c + hco3_c + ppcoa_c --> adp_c + h_c + mmcoa__S_c + pi_c
L-rhamnose isomerase,WP_005248809_1,RMI,rmn_c <=> rml_c
Rhamnulokinase,WP_005248806_1,RMK,atp_c + rml_c --> adp_c + h_c + rml1p_c
UDP-4''-ketopentose:UDP-4-amino-4-deoxy-L-arabinose aminotransferase,WP_005248797_1,UDPKAAT,glu__L_c + udpLa4o_c <=> akg_c + udpLa4n_c
UDP-2-acetamido-2-deoxy-alpha-D-ribo-hexopyranos-3-ulose 3-aminotransferase,WP_005248797_1,UACGAMOAT,glu__L_c + uacgamo_c <=> akg_c + uacgnn_c
Glycerol teichoic acid  n45   unlinked  D ala substituted,WP_005248784_1,TECA2S45,45.0 ala__D_c + 45.0 atp_c + 45.0 cdpglyc_c + 45.0 h2o_c + uacgam_c + uacmam_c --> 45.0 amp_c + 45.0 cmp_c + gtca2_45_BS_c + 91.0 h_c + 45.0 ppi_c + udp_c + ump_c
Glycerol teichoic acid  n45   unlinked  glucose substituted,WP_005248784_1,TECA3S45,45.0 cdpglyc_c + h2o_c + uacgam_c + uacmam_c + 45.0 udpg_c --> 45.0 cmp_c + gtca3_45_BS_c + 91.0 h_c + 46.0 udp_c + ump_c
Glycerol teichoic acid  n45   unlinked  unsubstituted,WP_005248784_1,TECA1S45,45.0 cdpglyc_c + uacgam_c + uacmam_c --> 45.0 cmp_c + gtca1_45_BS_c + 46.0 h_c + udp_c + ump_c
QRr,WP_005248781_1,QRr,h_c + nadph_c + q_c --> nadp_c + qh2_c
RHACOAR80,WP_005248746_1,RHACOAR80,3oocoa_c + h_c + nadph_c <=> R_3hocoa_c + nadp_c
RHACOAR140,WP_005248746_1,RHACOAR140,3otdcoa_c + h_c + nadph_c <=> R_3hmrscoa_c + nadp_c
RHACOAR60,WP_005248746_1,RHACOAR60,3ohcoa_c + h_c + nadph_c <=> R_3hhcoa_c + nadp_c
RHACOAR120,WP_005248746_1,RHACOAR120,3oddcoa_c + h_c + nadph_c <=> R_3hddcoa_c + nadp_c
RHACOAR100,WP_005248746_1,RHACOAR100,3odcoa_c + h_c + nadph_c <=> R_3hdcoa_c + nadp_c
VNTDM,WP_005248736_1 and WP_005250797_1,VNTDM,h_c + nadh_c + o2_c + vanlt_c --> 34dhbz_c + fald_c + h2o_c + nad_c
S-adenosylmethione:2-demethylmenaquinone methyltransferase,WP_005248734_1 or WP_005563989_1,AMMQT8_2,2dmmq8_c + amet_c --> ahcys_c + h_c + mqn8_c
S-adenosylmethione:2-demthylmenaquinole methyltransferase (menaquinone 8),WP_005248734_1 or WP_005251354_1 or WP_025431587_1,AMMQLT8,2dmmql8_c + amet_c --> ahcys_c + h_c + mql8_c
Geobacter metallireucens modelified lipid A transport via ABC system (periplasm),WP_005248726_1,GM2LIPAabcpp,atp_c + h2o_c + hghhlipan_c --> adp_c + h_c + hghhlipan_p + pi_c
Glutamyl-tRNA synthetase,WP_005248712_1,GLUTRS,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c
S-Formylglutathione hydralase,WP_005248695_1 or WP_005248838_1 or WP_025432072_1,SFGTHi,Sfglutth_c + h2o_c --> for_c + gthrd_c + h_c
Enterochelin Esterase (Fe containing),WP_005248690_1,ENTERES2,feenter_c + 3.0 h2o_c --> 3.0 23dhbzs_c + fe3_c + 3.0 h_c
Enterochelin Esterase,WP_005248690_1,ENTERES,enter_c + 3.0 h2o_c --> 3.0 23dhbzs_c + 3.0 h_c
"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",WP_005248635_1 or WP_025432876_1,UAAGDS,26dap__M_c + atp_c + uamag_c --> adp_c + h_c + pi_c + ugmd_c
Undecaprenyl phosphate-L-Ara4FN transferase,WP_005248591_1,UPLA4FNT,udcpp_c + udpLa4fn_c --> uLa4fn_c + udp_c
Undecaprenyl phosphate 4-amino-4-deoxy L-arabinose synthase,WP_005248591_1,UPLA4NT,udcpp_c + udpLa4n_c --> uLa4n_c + udp_c
Maltotriose transport via ABC system,WP_005248578_1 and WP_025432775_1,MALTTRabc,atp_c + h2o_c + malttr_e --> adp_c + h_c + malttr_c + pi_c
Maltopentaose transport via ABC system,WP_005248578_1 and WP_025432775_1,MALTPTabc,atp_c + h2o_c + maltpt_e --> adp_c + h_c + maltpt_c + pi_c
Maltohexaose transport via ABC system,WP_005248578_1 and WP_025432775_1,MALTHXabc,atp_c + h2o_c + malthx_e --> adp_c + h_c + malthx_c + pi_c
Maltotetraose transport via ABC system,WP_005248578_1 and WP_025432775_1,MALTTTRabc,atp_c + h2o_c + maltttr_e --> adp_c + h_c + maltttr_c + pi_c
Taurine dioxygenase,WP_005248571_1 or WP_005251205_1,TAUDO,akg_c + o2_c + taur_c --> aacald_c + co2_c + so3_c + succ_c
4 carboxy 2 hydroxymuconate 6 semialdehyde dehydrogenase,WP_005248570_1 or WP_025431636_1,CMCMSAD,5cmhmsa_c + h2o_c + nad_c --> 5cmhm_c + 2.0 h_c + nadh_c
"3-oxo-5,6-dehydrosuberyl-CoA thiolase",WP_005248565_1 and WP_005250766_1,OXDHCOAT,3oxdhscoa_c + coa_c --> 23dhacoa_c + accoa_c
"Ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)",WP_005248565_1,REPHACCOAI,rephaccoa_c <=> 2oxpaccoa_c
Bicarbonate transport via ABC system (periplasm),WP_005248551_1 and WP_025433347_1,BCT1_syn,atp_c + h2o_c + hco3_p --> adp_c + h_c + hco3_c + pi_c
Hexokinase (D-glucose:ATP),WP_005248548_1 or WP_005251402_1 or WP_025432958_1 or WP_025433212_1 or WP_037179861_1,HEX1,atp_c + glc__D_c --> adp_c + g6p_c + h_c
Fatty-acyl-ACP hydrolase,WP_005248538_1,FA161ACPHi,h2o_c + hdeACP_c --> ACP_c + h_c + hdcea_c
Fatty-acyl-ACP hydrolase,WP_005248538_1,FA141ACPHi,h2o_c + tdeACP_c --> ACP_c + h_c + ttdcea_c
Fatty-acyl-ACP hydrolase,WP_005248538_1,FA160ACPHi,h2o_c + palmACP_c --> ACP_c + h_c + hdca_c
Fatty-acyl-ACP hydrolase,WP_005248538_1,FA120ACPHi,ddcaACP_c + h2o_c --> ACP_c + ddca_c + h_c
Fatty-acyl-ACP hydrolase,WP_005248538_1,FA140ACPHi,h2o_c + myrsACP_c --> ACP_c + h_c + ttdca_c
Aspartate kinase,WP_005248517_1,ASPK,asp__L_c + atp_c <=> 4pasp_c + adp_c
Aspartate-semialdehyde dehydrogenase,WP_005248516_1,ASAD,aspsa_c + nadp_c + pi_c <=> 4pasp_c + h_c + nadph_c
Sodium proton antiporter (H:NA is 2) (periplasm),WP_005248482_1 or WP_005252564_1,NAt3_2pp,2.0 h_p + na1_c --> 2.0 h_c + na1_p
Sodium proton antiporter (H:NA is 2),WP_005248482_1,NAt3_2,2.0 h_e + na1_c --> 2.0 h_c + na1_e
Adenylate cyclase,WP_005248480_1 or WP_005251722_1 or WP_005252163_1 or WP_025432979_1 or WP_043943784_1,ADNCYC,atp_c --> camp_c + ppi_c
ACS2,WP_005248479_1 or WP_005250389_1 or WP_005250868_1 or WP_080578205_1,ACS2,atp_c + coa_c + ppa_c --> amp_c + ppcoa_c + ppi_c
FAO11,WP_005248351_1 and WP_005251849_1 and WP_025431690_1 and WP_025431691_1,FAO11,atp_c + 8.0 coa_c + 6.0 fad_c + 7.0 h2o_c + hdcea_c + 7.0 nad_c --> 8.0 accoa_c + amp_c + 6.0 fadh2_c + 7.0 h_c + 7.0 nadh_c + ppi_c
FAO10,WP_005248351_1 and WP_005251849_1 and WP_025431690_1 and WP_025431691_1,FAO10,atp_c + 9.0 coa_c + 7.0 fad_c + 8.0 h2o_c + 8.0 nad_c + ocdcea_c --> 9.0 accoa_c + amp_c + 7.0 fadh2_c + 8.0 h_c + 8.0 nadh_c + ppi_c
Galactonate dehydratase,WP_005248344_1 or WP_005248345_1,GALCTND,galctn__D_c --> 2dh3dgal_c + h2o_c
2-dehydro-3-deoxy-6-phosphogalactonate aldolase,WP_005248344_1,DDPGALA,2dh3dgal6p_c <=> g3p_c + pyr_c
2-dehydro-3-deoxygalactonokinase,WP_005248341_1,DDGALK,2dh3dgal_c + atp_c --> 2dh3dgal6p_c + adp_c + h_c
Glycogen phosphorylase,WP_005248330_1 or WP_025432976_1,GLCP,glycogen_c + pi_c --> g1p_c
"1,4-alpha-glucan branching enzyme (glycogen -> bglycogen)",WP_005248330_1,GLBRAN2,glycogen_c --> bglycogen_c
Cysteine synthase,WP_005248316_1 or WP_005252021_1 or WP_043944116_1,CYSS,acser_c + h2s_c --> ac_c + cys__L_c + h_c
Nucleoside triphosphate pyrophosphorylase (xtp),WP_005248299_1,NTPP11,h2o_c + xtp_c --> h_c + ppi_c + xmp_c
Alpha glucosidase,WP_005248221_1,MALT,h2o_c + malt_c --> 2.0 glc__D_c
Ribose-5-phosphate isomerase,WP_005248193_1 or WP_025432007_1,RPI,r5p_c <=> ru5p__D_c
"3-dehydroquinate dehydratase, irreversible",WP_005248177_1 or WP_005250083_1,DHQTi,3dhq_c --> 3dhsk_c + h2o_c
NADH dehydrogenase  Menaquinone 7  no proton ,WP_005248159_1,NADH4,h_c + mqn7_c + nadh_c --> mql7_c + nad_c
HPA permease,WP_005248143_1 or WP_025433549_1,3HOXPACt2pp,3hoxpac_p + h_p --> 3hoxpac_c + h_c
OXOAEL,WP_005248117_1,OXOAEL,5odhf2a_c + h2o_c --> 3oxoadp_c + h_c
PCADYOX,WP_005248114_1 and WP_025432948_1,PCADYOX,34dhbz_c + o2_c --> CCbuttc_c + 2.0 h_c
Dihydrofolate synthase,WP_005248089_1,DHFS,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c
Nucleoside-diphosphate kinase (ATP:dADP),WP_005248085_1,NDPK8,atp_c + dadp_c <=> adp_c + datp_c
Nucleoside diphosphate kinase  ATPIDP ,WP_005248085_1,NDPK9,atp_c + idp_c --> adp_c + itp_c
Nucleoside-diphosphate kinase (ATP:dGDP),WP_005248085_1,NDPK5,atp_c + dgdp_c <=> adp_c + dgtp_c
Nucleoside-diphosphate kinase (ATP:UDP),WP_005248085_1,NDPK2,atp_c + udp_c <=> adp_c + utp_c
Nucleoside-diphosphate kinase (ATP:GDP),WP_005248085_1,NDPK1,atp_c + gdp_c <=> adp_c + gtp_c
Nucleoside-diphosphate kinase (ATP:dTDP),WP_005248085_1,NDPK4,atp_c + dtdp_c <=> adp_c + dttp_c
Nucleoside-diphosphate kinase (ATP:CDP),WP_005248085_1,NDPK3,atp_c + cdp_c <=> adp_c + ctp_c
Nucleoside-diphosphate kinase (ATP:dUDP),WP_005248085_1,NDPK6,atp_c + dudp_c <=> adp_c + dutp_c
Nucleoside-diphosphate kinase (ATP:dCDP),WP_005248085_1,NDPK7,atp_c + dcdp_c <=> adp_c + dctp_c
Iron (II) transport via ABC system (periplasm),WP_005248068_1 or WP_005248133_1,FE2abcpp,atp_c + fe2_p + h2o_c --> adp_c + fe2_c + h_c + pi_c
Glutamate 5-kinase,WP_005248066_1,GLU5K,atp_c + glu__L_c --> adp_c + glu5p_c
Dihydroneopterin triphosphate pyrophosphatase,WP_005248057_1 or WP_025432322_1,DNTPPA,ahdt_c + h2o_c --> dhpmp_c + h_c + ppi_c
Ribokinase,WP_005248056_1,RBK,atp_c + rib__D_c --> adp_c + h_c + r5p_c
Nicotinate-nucleotide adenylyltransferase,WP_005248045_1,NNATr,atp_c + h_c + nicrnt_c <=> dnad_c + ppi_c
CHOLSH,WP_005247983_1,CHOLSH,chols_c + h2o_c --> chol_c + h_c + so4_c
3-hydroxy-myristoyl-ACP synthesis,WP_005247960_1 or WP_005252932_1 or ( WP_005245262_1 and WP_005247960_1 ) or ( WP_005247960_1 and WP_005252285_1 ),KAS16,ddcaACP_c + 2.0 h_c + malACP_c + nadph_c --> 3hmrsACP_c + ACP_c + co2_c + nadp_c
B-ketoacyl synthetase (n-C16:1),WP_005247960_1 or ( WP_005245262_1 and WP_025432573_1 ) or ( WP_005245262_1 and WP_143767456_1 ),KAS7,accoa_c + 19.0 h_c + 7.0 malcoa_c + 13.0 nadph_c --> 7.0 co2_c + 8.0 coa_c + 6.0 h2o_c + hdcea_c + 13.0 nadp_c
B-ketoacyl synthetase (Anteiso-C15:0),WP_005247960_1 or ( WP_005245262_1 and WP_025432573_1 ) or ( WP_005245262_1 and WP_143767456_1 ),KAS4,2mbcoa_c + 14.0 h_c + 5.0 malcoa_c + 10.0 nadph_c --> 5.0 co2_c + 6.0 coa_c + fa4_c + 4.0 h2o_c + 10.0 nadp_c
B-ketoacyl synthetase (Iso-C15:0),WP_005247960_1 or ( WP_005245262_1 and WP_025432573_1 ) or ( WP_005245262_1 and WP_143767456_1 ),KAS3,14.0 h_c + ivcoa_c + 5.0 malcoa_c + 10.0 nadph_c --> 5.0 co2_c + 6.0 coa_c + fa3_c + 4.0 h2o_c + 10.0 nadp_c
B-ketoacyl synthetase (n-C14:0),WP_005247960_1 or ( WP_005245262_1 and WP_025432573_1 ) or ( WP_005245262_1 and WP_143767456_1 ),KAS2,accoa_c + 17.0 h_c + 6.0 malcoa_c + 12.0 nadph_c --> 6.0 co2_c + 7.0 coa_c + 5.0 h2o_c + 12.0 nadp_c + ttdca_c
B-ketoacyl synthetase (n-C18:1),WP_005247960_1 or ( WP_005245262_1 and WP_025432573_1 ) or ( WP_005245262_1 and WP_143767456_1 ),KAS17,accoa_c + 22.0 h_c + 8.0 malcoa_c + 15.0 nadph_c --> 8.0 co2_c + 9.0 coa_c + 7.0 h2o_c + 15.0 nadp_c + ocdcea_c
B-ketoacyl synthetase (octadecanoate),WP_005247960_1 or ( WP_005245262_1 and WP_025432573_1 ) or ( WP_005245262_1 and WP_143767456_1 ),KAS13,accoa_c + 23.0 h_c + 8.0 malcoa_c + 16.0 nadph_c --> 8.0 co2_c + 9.0 coa_c + 7.0 h2o_c + 16.0 nadp_c + ocdca_c
B-ketoacyl synthetase (Iso-C17:0),WP_005247960_1 or ( WP_005245262_1 and WP_025432573_1 ) or ( WP_005245262_1 and WP_143767456_1 ),KAS11,17.0 h_c + ivcoa_c + 6.0 malcoa_c + 12.0 nadph_c --> 6.0 co2_c + 7.0 coa_c + fa11_c + 5.0 h2o_c + 12.0 nadp_c
B-ketoacyl synthetase (Iso-C14:0),WP_005247960_1 or ( WP_005245262_1 and WP_025432573_1 ) or ( WP_005245262_1 and WP_143767456_1 ),KAS1,14.0 h_c + ibcoa_c + 5.0 malcoa_c + 10.0 nadph_c --> 5.0 co2_c + 6.0 coa_c + fa1_c + 4.0 h2o_c + 10.0 nadp_c
B-ketoacyl synthetase (Iso-C16:0),WP_005247960_1 or ( WP_005245262_1 and WP_025432573_1 ) or ( WP_005245262_1 and WP_143767456_1 ),KAS6,17.0 h_c + ibcoa_c + 6.0 malcoa_c + 12.0 nadph_c --> 6.0 co2_c + 7.0 coa_c + fa6_c + 5.0 h2o_c + 12.0 nadp_c
AMID4,WP_005247916_1,AMID4,ad_c + h2o_c --> ac_c + nh4_c
Potassium ABC transporter,WP_005247909_1 and WP_025432918_1 and WP_025432919_1,Kabc,atp_c + h2o_c + k_e --> adp_c + h_c + k_c + pi_c
H+/K+ gastric/non-gastric P-ATPase and ABC ATPase (periplasm),WP_005247909_1 and WP_025432918_1,HKtpp,atp_c + h2o_c + k_p --> adp_c + h_p + k_c + pi_c
UDPDPS2,WP_005247891_1,UDPDPS2,decdp_tb_c + ipdp_c --> ppi_c + udcpdp_c
Undecaprenyl-diphosphate synthase,WP_005247891_1,UDPDPS,decdp_c + ipdp_c --> ppi_c + udcpdp_c
Nucleoside triphosphate tripolyhydrolase,WP_005247870_1,NTPTP1,dgtp_c + h2o_c --> dgsn_c + pppi_c
Nucleoside triphosphate tripolyhydrolase,WP_005247870_1,NTPTP2,gtp_c + h2o_c --> gsn_c + pppi_c
Malonyl-CoA-ACP transacylase,WP_005247836_1 or WP_005247839_1 or WP_005248538_1,MCOATA,ACP_c + malcoa_c <=> coa_c + malACP_c
Phosphoglycerate mutase,WP_005247800_1,PGM_1,3pg_c <=> 2pg_c
3-methyl-2-oxobutanoate hydroxymethyltransferase,WP_005247779_1,MOHMT,3mob_c + h2o_c + mlthf_c --> 2dhp_c + thf_c
Gamma butyrobetaine transport in via ABC system,WP_005247765_1 and WP_005247766_1,GBBTNabc,atp_c + gbbtn_e + h2o_c --> adp_c + gbbtn_c + h_c + pi_c
Choline sulfate transport in via ABC system,WP_005247765_1 and WP_005247766_1,CHOLSabc_1,atp_c + chols_e + h2o_c --> adp_c + chols_c + h_c + pi_c
Crotonobetaine transport in via ABC system,WP_005247765_1 and WP_005247766_1,CTBTabc,atp_c + ctbt_e + h2o_c --> adp_c + ctbt_c + h_c + pi_c
Lipoyl(octanoyl) transferase,WP_005247748_1,LIPOCT,h_c + ocACP_c --> ACP_c + octapb_c
Alanyl aminopeptidase (cys-gly),WP_005247736_1 or WP_005248200_1,AMPTASECG,cgly_c + h2o_c --> cys__L_c + gly_c
Aminopeptidase (pro-gly),WP_005247736_1,AMPTASEPG,h2o_c + progly_c --> gly_c + pro__L_c
Glycine cleavage complex,WP_005247733_1,GCCb,alpro_c + thf_c --> dhlpro_c + mlthf_c + nh4_c
Aminomethyltransferase,WP_005247733_1,FOMETRi,5fthf_c + h_c --> h2o_c + methf_c
Isoleucine transaminase,WP_005247732_1 or WP_005250481_1,ILETA,akg_c + ile__L_c <=> 3mop_c + glu__L_c
Valine transaminase,WP_005247732_1 or WP_005250481_1,VALTA,akg_c + val__L_c <=> 3mob_c + glu__L_c
Leucine transaminase,WP_005247732_1,LEUTA,akg_c + leu__L_c <=> 4mop_c + glu__L_c
ISC [4Fe-4S] Transfer,WP_005247725_1 or ( WP_005240338_1 and WP_025432540_1 ),I4FE4ST,4.0 h_c + iscu_4fe4s_c --> 4fe4s_c + iscu_c
ISC [2Fe-2S] Transfer,WP_005247725_1 or ( WP_005240338_1 and WP_025432540_1 ),I2FE2ST,4.0 h_c + iscu_2fe2s_c --> 2fe2s_c + iscu_c
Adenosine kinase,WP_005247724_1,ADNK1,adn_c + atp_c --> adp_c + amp_c + h_c
ADNK4,WP_005247724_1,ADNK4,adn_c + dgtp_c --> amp_c + dgdp_c + h_c
ADNK3,WP_005247724_1,ADNK3,adn_c + gtp_c --> amp_c + gdp_c + h_c
CYO1a,WP_005247712_1 and WP_005247713_1 and WP_043943950_1,CYO1a,2.0 ficytc_c + 2.0 h_c + qh2_c --> 2.0 focytc_c + 2.0 h_e + q_c
Anthranilate phosphoribosyltransferase,WP_005247709_1,ANPRT,anth_c + prpp_c --> ppi_c + pran_c
Dihydroneopterin monophosphate dephosphorylase,WP_005247681_1 or WP_005248057_1,DNMPPA,dhpmp_c + h2o_c --> dhnpt_c + pi_c
Geranyltranstransferase,WP_005247661_1 or WP_005252086_1 or WP_005572244_1,GRTT,grdp_c + ipdp_c --> frdp_c + ppi_c
"Phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",WP_005247625_1,PAPPT3,udcpp_c + ugmda_c --> uagmda_c + ump_c
Pyruvate oxidase,WP_005247584_1,POX,h2o_c + pyr_c + q8_c --> ac_c + co2_c + q8h2_c
MOTH,WP_005247578_1,MOTH,h2o_c + motre_c --> maltpt_c + tre_c
MOTS,WP_005247573_1,MOTS,malthp_c --> motre_c
BTS2,WP_005247552_1,BTS2,cys__L_c + dtbt_c --> ala__L_c + btn_c + 2.0 h_c
