Gene ID (RS),Gene ID (LPD),Annotation
PD630_RS00005,"Pd630_LPD00001	",chromosomal replication initiator protein DnaA
PD630_RS05675,"Pd630_LPD01192	",LLM class F420-dependent oxidoreductase
PD630_RS05680,"Pd630_LPD01193	",hypothetical protein
PD630_RS05685,"Pd630_LPD01194	",enoyl-CoA hydratase
PD630_RS05690,"Pd630_LPD01195	",acyl-CoA synthetase
PD630_RS05695,"Pd630_LPD01196	",monooxygenase
PD630_RS05700,"Pd630_LPD01197	",acyl-CoA synthetase
PD630_RS05705,"Pd630_LPD01198	",acyl-CoA dehydrogenase
PD630_RS05710,"Pd630_LPD01199	",acyl-CoA dehydrogenase
PD630_RS05715,"Pd630_LPD01200	",ferredoxin
PD630_RS05720,"Pd630_LPD01201	",3-oxoacyl-ACP reductase
PD630_RS05725,"Pd630_LPD01202	",ABC transporter permease
PD630_RS05730,"Pd630_LPD01203	",ABC transporter permease
PD630_RS05735,"Pd630_LPD01204	",MCE family protein
PD630_RS05740,"Pd630_LPD01205	",mammalian cell entry protein
PD630_RS05745,"Pd630_LPD01206	",mammalian cell entry protein
PD630_RS05750,"Pd630_LPD01207	",MCE family protein
PD630_RS05755,"Pd630_LPD01208	",mammalian cell entry protein
PD630_RS05760,"Pd630_LPD01209	",mammalian cell entry protein
PD630_RS05765,"Pd630_LPD01210	",hypothetical protein
PD630_RS05770,"Pd630_LPD01211	",hypothetical protein
PD630_RS05775,"Pd630_LPD01212	",hypothetical protein
PD630_RS05780,"Pd630_LPD01213	",epimerase
PD630_RS05785,"Pd630_LPD01214	",trehalose-6-phosphate synthase
PD630_RS05790,"Pd630_LPD01216	",ABC transporter
PD630_RS05795,"Pd630_LPD01217	",multidrug ABC transporter permease
PD630_RS05800,"Pd630_LPD01218	",methionyl-tRNA formyltransferase
PD630_RS05805,"Pd630_LPD01219	",alpha/beta hydrolase
PD630_RS05810,"Pd630_LPD01220	",sensor domain-containing diguanylate cyclase
PD630_RS05815,"Pd630_LPD01221	",non-ribosomal peptide synthetase
PD630_RS05820,"Pd630_LPD01222	",L-ornithine 5-monooxygenase
PD630_RS05825,"Pd630_LPD01223	",antibiotic synthesis protein MbtH
PD630_RS05830,"Pd630_LPD01224	",membrane protein
PD630_RS05835,"Pd630_LPD01225	",hypothetical protein
PD630_RS05840,"Pd630_LPD01226	",tRNA-Thr
PD630_RS05845,"Pd630_LPD01227	",siderophore-interacting protein
PD630_RS05850,"Pd630_LPD01228	",triacylglycerol lipase
PD630_RS05855,"Pd630_LPD01229	",TetR family transcriptional regulator
PD630_RS05860,"Pd630_LPD01230	",glycosyl hydrolase family 15
PD630_RS05865,"Pd630_LPD01231	",DNA-directed RNA polymerase sigma-70 factor
PD630_RS05870,"Pd630_LPD01232	",NmrA family transcriptional regulator
PD630_RS05875,"Pd630_LPD01233	",RNA polymerase sigma factor
PD630_RS05885,"Pd630_LPD01236	",MerR family transcriptional regulator
PD630_RS05890,"Pd630_LPD01237	",hypothetical protein
PD630_RS05895,"Pd630_LPD01238	",MerR family transcriptional regulator
PD630_RS05900,"Pd630_LPD01240	",hypothetical protein
PD630_RS05905,"Pd630_LPD01241	",hypothetical protein
PD630_RS41770,"Pd630_LPD01242	",hypothetical protein
PD630_RS41775,none,hydrolase (pseudogene)
PD630_RS05915,"Pd630_LPD01244	",hypothetical protein
PD630_RS05920,"Pd630_LPD01245	",LLM class F420-dependent oxidoreductase
PD630_RS05925,"Pd630_LPD01246	",hypothetical protein
PD630_RS05930,"Pd630_LPD01247	",QacE family quaternary ammonium compound efflux SMR transporter
PD630_RS05945,"Pd630_LPD01250	",DNA-binding response regulator
PD630_RS05950,"Pd630_LPD01251	",two-component sensor histidine kinase
PD630_RS05955,"Pd630_LPD01252	",HIT family protein
PD630_RS05960,"Pd630_LPD01253	",sugar translocase
PD630_RS05965,"Pd630_LPD01254	",glycosyl transferase
PD630_RS05970,"Pd630_LPD01255	",hypothetical protein
PD630_RS05975,"Pd630_LPD01256	",hypothetical protein
PD630_RS05980,"Pd630_LPD01257	",acyl-CoA dehydrogenase
PD630_RS05985,"Pd630_LPD01258	",crotonase
PD630_RS05990,"Pd630_LPD01259	",DNA-binding protein
PD630_RS05995,"Pd630_LPD01260	",acetyl-CoA acetyltransferase
PD630_RS06000,"Pd630_LPD01261	",acyl-CoA dehydrogenase
PD630_RS06005,"Pd630_LPD01262	",acyl-CoA dehydrogenase
PD630_RS06010,"Pd630_LPD01263	",acyl-CoA dehydrogenase
PD630_RS06015,"Pd630_LPD01264	",short-chain dehydrogenase
PD630_RS06020,"Pd630_LPD01265	",short-chain dehydrogenase
PD630_RS06025,"Pd630_LPD01266	",dehydrogenase
PD630_RS06030,"Pd630_LPD01267	",acyl-CoA synthetase
PD630_RS06035,"Pd630_LPD01268	",TetR family transcriptional regulator
PD630_RS06040,"Pd630_LPD01269	",ethyl tert-butyl ether degradation protein EthD
PD630_RS06045,"Pd630_LPD01270	",MBL fold metallo-hydrolase
PD630_RS06050,"Pd630_LPD01271	",NADP-dependent oxidoreductase
PD630_RS06055,"Pd630_LPD01272	",short-chain dehydrogenase
PD630_RS06060,"Pd630_LPD01273	",transporter
PD630_RS06065,"Pd630_LPD01274	",ABC transporter ATP-binding protein
PD630_RS06070,"Pd630_LPD01275	",short-chain dehydrogenase
PD630_RS06075,"Pd630_LPD01276	",transporter
PD630_RS06080,"Pd630_LPD01277	",alpha/beta hydrolase
PD630_RS06085,"Pd630_LPD01278	",oxidoreductase
PD630_RS06090,"Pd630_LPD01279	",branched-chain amino acid ABC transporter permease
PD630_RS06095,"Pd630_LPD01280	",branched-chain amino acid ABC transporter substrate-binding protein
PD630_RS06100,"Pd630_LPD01281	",oxidoreductase
PD630_RS06105,"Pd630_LPD01282	",branched-chain amino acid ABC transporter
PD630_RS06110,"Pd630_LPD01283	",cytochrome c
PD630_RS06115,"Pd630_LPD01284	",transcriptional regulator
PD630_RS06120,"Pd630_LPD01285	",serine hydrolase
PD630_RS06125,"Pd630_LPD01286	",phosphoribosylamine--glycine ligase
PD630_RS06130,"Pd630_LPD01287	",3-hydroxybutyrate dehydrogenase
PD630_RS06135,"Pd630_LPD01288	",MFS transporter
PD630_RS06140,"Pd630_LPD01289	",LysR family transcriptional regulator
PD630_RS06145,"Pd630_LPD01290	",aspartate aminotransferase
PD630_RS06150,"Pd630_LPD01291	",membrane protein
PD630_RS06155,"Pd630_LPD01292	",hypothetical protein
PD630_RS06160,"Pd630_LPD01293	",peptidase
PD630_RS06165,"Pd630_LPD01294	",membrane protein
PD630_RS06170,"Pd630_LPD01295	",TetR family transcriptional regulator
PD630_RS06175,"Pd630_LPD01296	",adenylosuccinate lyase
PD630_RS06180,"Pd630_LPD01297	",HIT family protein
PD630_RS06185,"Pd630_LPD01298	",hypothetical protein
PD630_RS06190,"Pd630_LPD01299	",MarR family transcriptional regulator
PD630_RS06195,"Pd630_LPD01300	",ABC transporter ATP-binding protein
PD630_RS06200,"Pd630_LPD01301	",multidrug ABC transporter permease
PD630_RS06205,"Pd630_LPD01302	",2%2C3-dihydroxybenzoate-AMP ligase
PD630_RS06210,"Pd630_LPD01303	",2%2C3-dihydro-2%2C3-dihydroxybenzoate dehydrogenase
PD630_RS06215,"Pd630_LPD01305	",isochorismate synthase (pseudogene)
PD630_RS06220,"Pd630_LPD01307	",AsnC family transcriptional regulator
PD630_RS06225,"Pd630_LPD01309	",hypothetical protein
PD630_RS06230,"Pd630_LPD01310	",hypothetical protein
PD630_RS06235,none,amidase
PD630_RS06240,"Pd630_LPD01312	",pyruvate kinase
PD630_RS06245,"Pd630_LPD01313	",glycerate kinase
PD630_RS06250,"Pd630_LPD01314	",C4-dicarboxylate transporter DctA
PD630_RS06255,"Pd630_LPD01315	",tartrate dehydrogenase
PD630_RS06260,"Pd630_LPD01316	",LysR family transcriptional regulator
PD630_RS06265,"Pd630_LPD01317	",MFS transporter
PD630_RS06270,"Pd630_LPD01318	",amphi-Trp domain-containing protein
PD630_RS06275,"Pd630_LPD01319	",class II glutamine amidotransferase
PD630_RS06280,"Pd630_LPD01320	",hypothetical protein
PD630_RS06285,"Pd630_LPD01321	",hypothetical protein
PD630_RS06290,"Pd630_LPD01322	",hypothetical protein
PD630_RS06295,"Pd630_LPD01323	",2-hydroxyacid dehydrogenase
PD630_RS06300,"Pd630_LPD01324	",MFS transporter
PD630_RS06305,"Pd630_LPD01325	",AraC family transcriptional regulator
PD630_RS06310,"Pd630_LPD01326	",glutamine amidotransferase
PD630_RS06315,"Pd630_LPD01327	",hypothetical protein
PD630_RS06320,"Pd630_LPD01328	",phosphoribosylaminoimidazolesuccinocarboxamide synthase
PD630_RS06325,"Pd630_LPD01329	",protease
PD630_RS06330,"Pd630_LPD01330	",hypothetical protein
PD630_RS06335,"Pd630_LPD01331	",hypothetical protein
PD630_RS06340,"Pd630_LPD01332	",DNA-binding response regulator
PD630_RS06345,"Pd630_LPD01333	",ATP-binding protein
PD630_RS06350,"Pd630_LPD01334	",C4-dicarboxylate transporter DctA
PD630_RS06355,"Pd630_LPD01335	",glutathione peroxidase
PD630_RS06360,"Pd630_LPD01336	",DUF2334 domain-containing protein
PD630_RS06365,"Pd630_LPD01337	",MBL fold metallo-hydrolase
PD630_RS06370,"Pd630_LPD01338	",phosphoribosylformylglycinamidine synthase subunit PurS
PD630_RS06375,"Pd630_LPD01339	",phosphoribosylformylglycinamidine synthase I
PD630_RS41780,none,WhiB family transcriptional regulator (pseudogene)
PD630_RS06380,"Pd630_LPD01340	",methyltransferase
PD630_RS06385,"Pd630_LPD01341	",4-alpha-glucanotransferase
PD630_RS06390,"Pd630_LPD01342	",TetR family transcriptional regulator
PD630_RS06395,"Pd630_LPD01343	",glycosyl transferase
PD630_RS06400,"Pd630_LPD01344	",glyoxalase/bleomycin resistance/dioxygenase family protein
PD630_RS06405,"Pd630_LPD01345	",M18 family aminopeptidase
PD630_RS06410,"Pd630_LPD01346	",phosphoribosylformylglycinamidine synthase II
PD630_RS06415,"Pd630_LPD01347	",membrane protein
PD630_RS06420,"Pd630_LPD01348	",CPBP family intramembrane metalloprotease
PD630_RS06425,"Pd630_LPD01349	",hypothetical protein
PD630_RS06430,"Pd630_LPD01350	",SAM-dependent methyltransferase
PD630_RS06435,"Pd630_LPD01352	",amidophosphoribosyltransferase
PD630_RS06440,"Pd630_LPD01353	",phosphoribosylformylglycinamidine cyclo-ligase
PD630_RS06445,none,hypothetical protein
PD630_RS06450,"Pd630_LPD01354	",asparaginase
PD630_RS06455,"Pd630_LPD01355	",MOSC domain-containing protein
PD630_RS06460,"Pd630_LPD01356	",glycine cleavage system protein T
PD630_RS06465,"Pd630_LPD01357	",4-amino-4-deoxychorismate lyase
PD630_RS06470,"Pd630_LPD01358	",cytochrome ubiquinol oxidase subunit I
PD630_RS06475,"Pd630_LPD01359	",cytochrome c oxidase assembly protein
PD630_RS06480,"Pd630_LPD01360	",thiol reductant ABC exporter subunit CydD
PD630_RS06485,"Pd630_LPD01361	",thiol reductant ABC exporter subunit CydC
PD630_RS06490,"Pd630_LPD01362	",hypothetical protein
PD630_RS06495,"Pd630_LPD01363	",FABP family protein
PD630_RS06505,"Pd630_LPD01364	",cutinase
PD630_RS06510,"Pd630_LPD01365	",hypothetical protein
PD630_RS06515,"Pd630_LPD01366	",sulfurtransferase
PD630_RS06520,"Pd630_LPD01367	",membrane protein
PD630_RS06525,"Pd630_LPD01368	",thiol reductase thioredoxin
PD630_RS06530,"Pd630_LPD01369	",hypothetical protein
PD630_RS06535,"Pd630_LPD01370	",transcriptional regulator
PD630_RS06540,"Pd630_LPD01371	",mycothiol synthase
PD630_RS06545,"Pd630_LPD01372	",phosphate ABC transporter substrate-binding protein PstS
PD630_RS06550,"Pd630_LPD01373	",phosphate ABC transporter permease subunit PstC
PD630_RS06555,"Pd630_LPD01374	",phosphate ABC transporter%2C permease protein PstA
PD630_RS06560,"Pd630_LPD01375	",phosphate ABC transporter ATP-binding protein
PD630_RS06565,"Pd630_LPD01376	",phosphate transport system regulatory protein PhoU
PD630_RS06570,"Pd630_LPD01377	",LytR family transcriptional regulator
PD630_RS06575,"Pd630_LPD01378	",tRNA dihydrouridine synthase DusB
PD630_RS06580,"Pd630_LPD01379	",acyl-ACP desaturase
PD630_RS06585,"Pd630_LPD01380	",hypothetical protein
PD630_RS06590,"Pd630_LPD01381	",hypothetical protein
PD630_RS06595,"Pd630_LPD01382	",aryl-alcohol dehydrogenase
PD630_RS06600,"Pd630_LPD01383	",hypothetical protein
PD630_RS06605,"Pd630_LPD01384	",TetR family transcriptional regulator
PD630_RS06610,"Pd630_LPD01385	",tRNA-Lys
PD630_RS06615,"Pd630_LPD01386	",TetR family transcriptional regulator
PD630_RS06620,"Pd630_LPD01387	",tRNA-Glu
PD630_RS06625,"Pd630_LPD01388	",tRNA-Asp
PD630_RS06630,"Pd630_LPD01389	",tRNA-Phe
PD630_RS06635,"Pd630_LPD01390	",hypothetical protein
PD630_RS06640,"Pd630_LPD01391	",TetR family transcriptional regulator
PD630_RS06645,"Pd630_LPD01392	",hydrolase
PD630_RS06650,"Pd630_LPD01393	",TetR family transcriptional regulator
PD630_RS06655,"Pd630_LPD01394	",ABC transporter ATP-binding protein
PD630_RS06660,"Pd630_LPD01395	",branched-chain amino acid ABC transporter substrate-binding protein
PD630_RS06665,"Pd630_LPD01396	",branched-chain amino acid ABC transporter permease
PD630_RS06670,"Pd630_LPD01397	",branched-chain amino acid ABC transporter substrate-binding protein
PD630_RS06675,"Pd630_LPD01398	",oxidoreductase
PD630_RS06680,"Pd630_LPD01399	",membrane protein
PD630_RS06685,"Pd630_LPD01400	",dehydrogenase
PD630_RS06690,"Pd630_LPD01401	",membrane protein
PD630_RS06695,"Pd630_LPD01402	",universal stress protein
PD630_RS06700,"Pd630_LPD01403	",CHAD domain-containing protein
PD630_RS06705,"Pd630_LPD01404	",pseudouridylate synthase
PD630_RS06710,"Pd630_LPD01405	",peptidase S15
PD630_RS06715,"Pd630_LPD01406	",short-chain dehydrogenase
PD630_RS06720,"Pd630_LPD01407	",organic hydroperoxide resistance protein
PD630_RS06725,"Pd630_LPD01408	",MarR family transcriptional regulator
PD630_RS06730,"Pd630_LPD01409	",3-oxoacyl-ACP reductase
PD630_RS06735,"Pd630_LPD01410	",LLM class flavin-dependent oxidoreductase
PD630_RS06740,"Pd630_LPD01411	",citrate:proton symporter
PD630_RS06745,"Pd630_LPD01412	",hypothetical protein
PD630_RS06750,"Pd630_LPD01413	",Lsr2 protein
PD630_RS06755,"Pd630_LPD01414	",hypothetical protein
PD630_RS06760,"Pd630_LPD01416	",hypothetical protein
PD630_RS06765,"Pd630_LPD01417	",dioxygenase
PD630_RS06770,"Pd630_LPD01418	",fumarylacetoacetate hydrolase
PD630_RS06775,"Pd630_LPD01419	",MFS transporter
PD630_RS06780,"Pd630_LPD01420	",hypothetical protein
PD630_RS06785,"Pd630_LPD01421	",LysR family transcriptional regulator
PD630_RS06790,"Pd630_LPD01422	",monooxygenase
PD630_RS06795,"Pd630_LPD01423	",esterase (pseudogene)
PD630_RS06800,"Pd630_LPD01425	",hypothetical protein
PD630_RS06805,"Pd630_LPD01426	",ABC transporter
PD630_RS06810,"Pd630_LPD01427	",hypothetical protein
PD630_RS06815,"Pd630_LPD01428	",pentachlorophenol monooxygenase
PD630_RS06820,"Pd630_LPD01429	",DNA-binding protein
PD630_RS41280,"Pd630_LPD01430	",hypothetical protein
PD630_RS06830,"Pd630_LPD01431	",ATPase AAA
PD630_RS06835,"Pd630_LPD01432	",hypothetical protein
PD630_RS41785,none,hypothetical protein
PD630_RS06840,"Pd630_LPD01433	",IclR family transcriptional regulator
PD630_RS06845,"Pd630_LPD01434	",glycerate kinase
PD630_RS06850,"Pd630_LPD01435	",D-glycerate dehydrogenase
PD630_RS06855,"Pd630_LPD01436	",hydroxymethylglutaryl-CoA lyase
PD630_RS06860,"Pd630_LPD01437	",CoA transferase
PD630_RS06865,"Pd630_LPD01438	",gluconate permease
PD630_RS06870,"Pd630_LPD01439	",AraC family transcriptional regulator
PD630_RS06875,"Pd630_LPD01440	",5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
PD630_RS06880,"Pd630_LPD01441	",DNA-binding response regulator
PD630_RS06885,"Pd630_LPD01442	",histidine kinase
PD630_RS06890,"Pd630_LPD01443	",membrane protein
PD630_RS06895,"Pd630_LPD01444	",multidrug ABC transporter ATP-binding protein
PD630_RS06900,"Pd630_LPD01445	",phospho-2-dehydro-3-deoxyheptonate aldolase
PD630_RS06905,"Pd630_LPD01446	",DNA-N1-methyladenine dioxygenase
PD630_RS06910,"Pd630_LPD01447	",transporter
PD630_RS06915,"Pd630_LPD01448	",ectoine hydroxylase
PD630_RS06920,"Pd630_LPD01449	",lysine transporter LysE
PD630_RS06925,"Pd630_LPD01450	",zinc-binding dehydrogenase
PD630_RS06930,"Pd630_LPD01451	",glyoxalase/bleomycin resistance/dioxygenase family protein
PD630_RS06935,"Pd630_LPD01452	",AraC family transcriptional regulator
PD630_RS06940,"Pd630_LPD01453	",aminotransferase
PD630_RS06945,"Pd630_LPD01454	",transposase
PD630_RS06950,"Pd630_LPD01455	",RNA polymerase sigma factor SigJ
PD630_RS06955,"Pd630_LPD01456	",ABC transporter substrate-binding protein
PD630_RS06960,"Pd630_LPD01457	",ABC transporter substrate-binding protein
PD630_RS06965,"Pd630_LPD01458	",ABC transporter ATP-binding protein
PD630_RS06970,"Pd630_LPD01459	",ABC transporter permease
PD630_RS06975,"Pd630_LPD01460	",LLM class flavin-dependent oxidoreductase
PD630_RS06980,"Pd630_LPD01461	",MFS transporter
PD630_RS06985,"Pd630_LPD01462	",LLM class F420-dependent oxidoreductase
PD630_RS06990,"Pd630_LPD01463	",N-acetyltransferase
PD630_RS06995,"Pd630_LPD01464	",histidine kinase
PD630_RS07000,"Pd630_LPD01465	",helicase
PD630_RS07005,"Pd630_LPD01466	",hypothetical protein
PD630_RS07010,"Pd630_LPD01467	",sugar kinase
PD630_RS07015,"Pd630_LPD01468	",ABC transporter substrate-binding protein
PD630_RS07020,"Pd630_LPD01469	",nitrate ABC transporter permease
PD630_RS07025,"Pd630_LPD01470	",sulfonate ABC transporter ATP-binding protein
PD630_RS07030,"Pd630_LPD01471	",LLM class flavin-dependent oxidoreductase
PD630_RS07035,"Pd630_LPD01472	",ABC transporter
PD630_RS07040,"Pd630_LPD01473	",mycolyltransferase
PD630_RS07045,"Pd630_LPD01474	",DNA-binding protein
PD630_RS07050,none,hypothetical protein
PD630_RS07055,"Pd630_LPD01476	",resuscitation-promoting factor
PD630_RS07060,"Pd630_LPD01477	",hypothetical protein
PD630_RS07065,"Pd630_LPD01478	",hypothetical protein
PD630_RS07070,"Pd630_LPD01479	",cold-shock protein
PD630_RS07075,"Pd630_LPD01480	",hypothetical protein
PD630_RS07080,"Pd630_LPD01481	",membrane protein
PD630_RS07085,"Pd630_LPD01483	",glutaminyl-peptide cyclotransferase
PD630_RS07090,"Pd630_LPD01484	",hypothetical protein
PD630_RS07095,none,hypothetical protein
PD630_RS07100,"Pd630_LPD01485	",hypothetical protein
PD630_RS07105,"Pd630_LPD01486	",phosphatase PAP2 family protein
PD630_RS07110,"Pd630_LPD01487	",membrane protein
PD630_RS07115,"Pd630_LPD01488	",MFS transporter
PD630_RS07120,"Pd630_LPD01489	",MarR family transcriptional regulator
PD630_RS07125,"Pd630_LPD01490	",MFS transporter
PD630_RS07130,"Pd630_LPD01491	",carbon monoxide dehydrogenase
PD630_RS07135,"Pd630_LPD01492	",aldehyde dehydrogenase
PD630_RS07140,"Pd630_LPD01493	",carbon monoxide dehydrogenase
PD630_RS07145,none,hypothetical protein (pseudogene)
PD630_RS07150,"Pd630_LPD01496	",ATPase
PD630_RS07155,"Pd630_LPD01497	",short-chain dehydrogenase
PD630_RS07160,"Pd630_LPD01498	",rRNA methyltransferase
PD630_RS07165,"Pd630_LPD01499	",membrane protein
PD630_RS07170,"Pd630_LPD01500	",hypothetical protein
PD630_RS07175,"Pd630_LPD01501	",DNA-binding protein
PD630_RS07180,"Pd630_LPD01502	",GntR family transcriptional regulator
PD630_RS07185,"Pd630_LPD01503	",hypothetical protein
PD630_RS07190,"Pd630_LPD01504	",sugar ABC transporter
PD630_RS07195,"Pd630_LPD01505	",ABC transporter permease
PD630_RS07200,"Pd630_LPD01506	",ABC transporter permease
PD630_RS07205,"Pd630_LPD01507	",ornithine cyclodeaminase
PD630_RS07210,"Pd630_LPD01508	",tRNA-specific adenosine deaminase
PD630_RS07215,"Pd630_LPD01509	",phosphoserine aminotransferase
PD630_RS07220,"Pd630_LPD01510	",citrate synthase
PD630_RS07225,"Pd630_LPD01511	",pyridoxamine 5'-phosphate oxidase
PD630_RS07230,"Pd630_LPD01512	",MFS transporter
PD630_RS07235,"Pd630_LPD01513	",aldose 1-epimerase
PD630_RS07240,"Pd630_LPD01514	",citrate (Si)-synthase
PD630_RS07245,"Pd630_LPD01515	",peptidyl-prolyl cis-trans isomerase
PD630_RS07250,"Pd630_LPD01516	",two-component sensor histidine kinase
PD630_RS07255,"Pd630_LPD01517	",DNA-binding response regulator
PD630_RS07260,"Pd630_LPD01518	",mechanosensitive ion channel protein MscS
PD630_RS07265,"Pd630_LPD01519	",deoxyribodipyrimidine photo-lyase
PD630_RS07270,"Pd630_LPD01520	",MFS transporter
PD630_RS07275,"Pd630_LPD01521	",TetR family transcriptional regulator
PD630_RS07280,"Pd630_LPD01522	",propionyl-CoA synthetase
PD630_RS07285,"Pd630_LPD01523	",esterase
PD630_RS07290,"Pd630_LPD01524	",GPP34 family phosphoprotein
PD630_RS07295,"Pd630_LPD01525	",HNH endonuclease
PD630_RS07300,"Pd630_LPD01526	",asparagine synthetase B
PD630_RS07305,"Pd630_LPD01527	",acetyl-CoA carboxyltransferase
PD630_RS07310,"Pd630_LPD01528	",FAD-binding molybdopterin dehydrogenase
PD630_RS07315,"Pd630_LPD01529	",aldehyde oxidase
PD630_RS07320,"Pd630_LPD01530	",antibiotic biosynthesis monooxygenase
PD630_RS07325,"Pd630_LPD01531	",hypothetical protein
PD630_RS07330,"Pd630_LPD01532	",copper oxidase
PD630_RS07335,"Pd630_LPD01533	",ABC transporter permease
PD630_RS07340,"Pd630_LPD01534	",ABC transporter ATP-binding protein
PD630_RS07345,"Pd630_LPD01535	",hypothetical protein
PD630_RS07350,none,transcriptional regulator
PD630_RS07355,"Pd630_LPD01537	",ferredoxin
PD630_RS07360,"Pd630_LPD01538	",heme ABC transporter ATP-binding protein
PD630_RS07365,"Pd630_LPD01539	",SAM-dependent methyltransferase
PD630_RS07370,"Pd630_LPD01540	",oxidoreductase
PD630_RS07375,"Pd630_LPD01541	",cupin
PD630_RS07385,"Pd630_LPD01543	",hypothetical protein
PD630_RS07390,"Pd630_LPD01544	",membrane protein
PD630_RS07395,"Pd630_LPD01545	",ATPase AAA
PD630_RS07400,"Pd630_LPD01546	",cation-binding protein
PD630_RS07405,"Pd630_LPD01547	",phospholipase D
PD630_RS07410,"Pd630_LPD01548	",lipase
PD630_RS07415,"Pd630_LPD01549	",pyridine nucleotide-disulfide oxidoreductase
PD630_RS07420,"Pd630_LPD01550	",enoyl-CoA hydratase
PD630_RS07425,"Pd630_LPD01552	",hypothetical protein
PD630_RS07430,"Pd630_LPD01553	",metal ABC transporter ATPase
PD630_RS07435,"Pd630_LPD01554	",hypothetical protein
PD630_RS07440,"Pd630_LPD01555	",Na+/H+ antiporter
PD630_RS07445,"Pd630_LPD01556	",lipase
PD630_RS07450,"Pd630_LPD01557	",phosphoribosylglycinamide formyltransferase
PD630_RS07455,"Pd630_LPD01558	",sensor histidine kinase
PD630_RS07460,"Pd630_LPD01559	",DNA-binding response regulator
PD630_RS07465,"Pd630_LPD01560	",hypothetical protein
PD630_RS07470,"Pd630_LPD01561	",cation acetate symporter
PD630_RS07475,"Pd630_LPD01562	",membrane protein
PD630_RS07480,"Pd630_LPD01563	",cation acetate symporter
PD630_RS07485,"Pd630_LPD01564	",SRPBCC family protein
PD630_RS07490,"Pd630_LPD01565	",amino acid ABC transporter substrate-binding protein
PD630_RS07495,"Pd630_LPD01566	",ATP-dependent DNA ligase
PD630_RS07500,"Pd630_LPD01567	",hypothetical protein
PD630_RS07505,none,hypothetical protein
PD630_RS07510,none,hypothetical protein
PD630_RS07515,"Pd630_LPD01571	",hypothetical protein
PD630_RS07520,"Pd630_LPD01572	",ABC transporter ATP-binding protein
PD630_RS07525,"Pd630_LPD01573	",GntR family transcriptional regulator
PD630_RS07530,"Pd630_LPD01574	",PPOX class F420-dependent enzyme
PD630_RS07535,"Pd630_LPD01575	",CoA transferase
PD630_RS07540,"Pd630_LPD01576	",acyl-CoA dehydrogenase
PD630_RS07545,"Pd630_LPD01577	",short-chain dehydrogenase
PD630_RS07550,"Pd630_LPD01578	",dehydratase
PD630_RS07555,"Pd630_LPD01579	",polyketide cyclase
PD630_RS07560,"Pd630_LPD01580	",lipid-transfer protein
PD630_RS07565,"Pd630_LPD01581	",TetR family transcriptional regulator
PD630_RS07570,"Pd630_LPD01582	",serine/threonine protein kinase
PD630_RS07575,"Pd630_LPD01583	",manganese transporter
PD630_RS07580,"Pd630_LPD01585	",hydroxylase
PD630_RS07585,"Pd630_LPD01586	",bifunctional o-acetylhomoserine/o-acetylserine sulfhydrylase
PD630_RS07590,"Pd630_LPD01587	",hypothetical protein
PD630_RS07595,"Pd630_LPD01588	",GntR family transcriptional regulator
PD630_RS07600,"Pd630_LPD01589	",4-carboxymuconolactone decarboxylase
PD630_RS07605,"Pd630_LPD01590	",4-hydroxyphenylpyruvate dioxygenase
PD630_RS07610,"Pd630_LPD01591	",ArsR family transcriptional regulator
PD630_RS07615,"Pd630_LPD01592	",gamma carbonic anhydrase family protein
PD630_RS07620,"Pd630_LPD01593	",CoA transferase
PD630_RS07625,"Pd630_LPD01594	",hydroxymethylglutaryl-CoA lyase
PD630_RS07630,"Pd630_LPD01595	",C4-dicarboxylate ABC transporter
PD630_RS07635,"Pd630_LPD01596	",carbonic anhydrase
PD630_RS07640,"Pd630_LPD01597	",membrane protein
PD630_RS07645,"Pd630_LPD01598	",MFS transporter
PD630_RS07650,"Pd630_LPD01599	",TetR family transcriptional regulator
PD630_RS07655,"Pd630_LPD01601	",adenylate/guanylate cyclase domain-containing protein
PD630_RS07660,"Pd630_LPD01602	",hypothetical protein
PD630_RS07665,"Pd630_LPD01603	",hypothetical protein
PD630_RS07670,"Pd630_LPD01604	",dihydroxy-acid dehydratase
PD630_RS07675,"Pd630_LPD01605	",TIGR03086 family protein
PD630_RS07680,"Pd630_LPD01606	",aldo/keto reductase
PD630_RS07685,"Pd630_LPD01607	",MFS transporter
PD630_RS07690,"Pd630_LPD01608	",flavoprotein
PD630_RS07695,"Pd630_LPD01609	",diacylglycerol kinase
PD630_RS07700,"Pd630_LPD01610	",tRNA synthetase RNA-binding protein
PD630_RS07705,"Pd630_LPD01611	",MFS transporter
PD630_RS07710,"Pd630_LPD01612	",GNAT family N-acetyltransferase
PD630_RS07715,"Pd630_LPD01613	",hypothetical protein
PD630_RS07720,"Pd630_LPD01614	",MFS transporter
PD630_RS41790,none,hypothetical protein
PD630_RS07725,"Pd630_LPD01616	",3-demethylubiquinone-9 3-O-methyltransferase
PD630_RS07730,"Pd630_LPD01617	",3-hydroxybutyryl-CoA dehydrogenase
PD630_RS07735,"Pd630_LPD01618	",acyl-CoA dehydrogenase
PD630_RS07740,"Pd630_LPD01619	",TetR family transcriptional regulator
PD630_RS07745,"Pd630_LPD01620	",non-ribosomal peptide synthetase
PD630_RS07750,"Pd630_LPD01621	",non-ribosomal peptide synthetase (pseudogene)
